Organisation Name,Award offered,Discipline,Applicant ACE Area,Region (ONS),Local Authority Name,Constituency
100 Club,491486.00,Music,London,London,Westminster,Cities of London and Westminster
104 projects CIC,50000.00,Visual arts,London,London,Richmond upon Thames,Richmond Park
2 Faced Dance Company Limited,148000.00,Dance,Midlands,West Midlands,"Herefordshire, County of",Hereford and South Herefordshire
23 Bath St,86246.00,Music,South West,South West,Mendip,Somerton and Frome
2funky music cafe,92000.00,Music,Midlands,East Midlands,Leicester,Leicester West
45North,50000.00,Theatre,London,London,Hackney,Hackney North and Stoke Newington
7E Youth Academy,185000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
A Space Arts,216930.00,Visual arts,South West,South East,Southampton,"Southampton, Itchen"
ABS MEDIA LIMITED,80000.00,Music,London,London,Ealing,Ealing Central and Acton
Academy Mews Dance Studios,100000.00,Dance,London,London,Camden,Holborn and St Pancras
ACAVA,416953.00,Visual arts,London,London,Kensington and Chelsea,Kensington
ACE Dance and music,65000.00,Dance,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
acta community theatre ltd,50000.00,Theatre,South West,South West,"Bristol, City of",Bristol South
Action Space London Events,52546.00,Visual arts,London,London,Camden,Holborn and St Pancras
Actors of Dionysus,50129.00,Theatre,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Ad Angels Limited,69000.00,Combined arts,South East,South East,Slough,Slough
Aerofleece Limited,249297.00,Music,South West,South West,"Bristol, City of",Bristol West
Aerospace Bristol,514000.00,Museums,South West,South West,South Gloucestershire,Filton and Bradley Stoke
Aesop Arts and Society Limited,200000.00,Not discipline specific,South East,South East,West Oxfordshire,Witney
AGMP,175000.00,Music,London,London,Westminster,Cities of London and Westminster
Aim High Dance Academy,50000.00,Dance,London,London,Croydon,Croydon North
AirCraft Circus Academy,50000.00,Theatre,London,London,Greenwich,Greenwich and Woolwich
Akito Limited,64645.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
Alan Brodie Representation Ltd,120000.00,Theatre,London,London,Islington,Islington South and Finsbury
Albert's Shed,580000.00,Music,Midlands,West Midlands,Telford and Wrekin,Telford
Alchemy Leeds LTD,229605.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
Alexander S Richardson Limited,60000.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Alexander's Live,238404.00,Music,North,North West,Cheshire West and Chester,City of Chester
All Things Considered Limited,295000.00,Music,London,London,Camden,Holborn and St Pancras
Almeida Theatre Company Limited,574000.00,Theatre,London,London,Islington,Islington South and Finsbury
Alnwick Playhouse,197668.00,Combined arts,North,North East,Northumberland,Berwick-upon-Tweed
Alphabetti Theatre,122000.00,Theatre,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
ALR Music Limited,240000.00,Music,London,London,Westminster,Cities of London and Westminster
Amber Film & Photography Collective,172363.00,Visual arts,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Amberley Museum & Heritage Centre,80000.00,Music,South East,South East,Horsham,Arundel and South Downs
Amust4music Ltd,241144.00,Music,Midlands,East Midlands,Derby,Mid Derbyshire
Angel Comedy Limited,90425.00,Theatre,London,London,Islington,Islington South and Finsbury
Angela Browne Ltd,249000.00,Theatre,South East,East of England,Central Bedfordshire,Mid Bedfordshire
Annephen Ltd,56386.00,Theatre,South East,South East,Mid Sussex,Arundel and South Downs
APL Event Ltd,56000.00,Music,North,North East,Northumberland,Hexham
Applecartlive.Ltd,78440.00,Combined arts,London,London,Newham,West Ham
Arcadia Missa,50000.00,Visual arts,London,London,Westminster,Cities of London and Westminster
Arcadia Spectacular Ltd,237826.00,Combined arts,South West,South West,North Somerset,North Somerset
Arch 468 Theatre Studio,55597.00,Theatre,London,London,Greenwich,Erith and Thamesmead
Architects of Air - Luminarium Company Ltd,97000.00,Combined arts,Midlands,East Midlands,Nottingham,Nottingham East
Arcola Theatre Production Company,296160.00,Theatre,London,London,Hackney,Hackney North and Stoke Newington
Arena Theatre (University of Wolverhampton),50000.00,Theatre,Midlands,West Midlands,Wolverhampton,Wolverhampton South West
Ark Culture,60000.00,Combined arts,South East,East of England,Luton,Luton South
ART B&B CIC,73000.00,Combined arts,North,North West,Blackpool,Blackpool North and Cleveleys
Art Care Education (ACE),50000.00,Visual arts,South West,South West,South Somerset,Somerton and Frome
Art Night,74054.00,Visual arts,London,London,Westminster,Cities of London and Westminster
Art Services Grants Ltd,588279.00,Visual arts,London,London,Redbridge,Ilford South
Artcore,54140.00,Visual arts,Midlands,East Midlands,Derby,Derby South
Artillery,68803.00,Combined arts,London,London,Waltham Forest,Walthamstow
Artists Studio Company,249000.00,Visual arts,London,London,Southwark,Camberwell and Peckham
Artlink Hull,158000.00,Combined arts,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull North
Arts & Heritage (PHC) Plymouth City Council,423000.00,Museums,South West,South West,Plymouth,"Plymouth, Sutton and Devonport"
Arts at the Mill CIC,945621.00,Combined arts,North,North West,Wigan,Wigan
Arts at the Old Fire Station,96420.00,Combined arts,South East,South East,Oxford,Oxford East
Arts Catalyst,53516.00,Visual arts,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Arts Marketing Association,183880.00,Not discipline specific,South East,East of England,Cambridge,Cambridge
artsintheeast ltd,201780.00,Combined arts,London,London,Newham,West Ham
Artspace Lifespace,94000.00,Combined arts,South West,South West,"Bristol, City of",Bristol West
Artstrust,157152.00,Dance,London,London,Greenwich,Greenwich and Woolwich
Artworks Creative Communities,50707.00,Combined arts,North,Yorkshire and The Humber,Bradford,Bradford West
Arun Arts Ltd,147200.00,Theatre,South East,South East,Arun,Bognor Regis and Littlehampton
Arvon Foundation,246000.00,Literature,London,London,Islington,Islington South and Finsbury
Assembled GALA,271201.00,Music,London,London,Hackney,Hackney South and Shoreditch
Association of British Theatre Technicians,88000.00,Theatre,London,London,Camden,Holborn and St Pancras
Assorted Works Limited,250000.00,Music,London,London,Islington,Islington South and Finsbury
Athena Events Ltd,250000.00,Combined arts,Midlands,East Midlands,Leicester,Leicester South
Audio Collective Limited,51000.00,Music,North,North West,Carlisle,Carlisle
Aurora Orchestra,200000.00,Music,London,London,Islington,Islington South and Finsbury
Auto Italia,95232.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
Autograph Group,943000.00,Music,London,London,Camden,Holborn and St Pancras
AYRE LTD,80000.00,Not discipline specific,North,Yorkshire and The Humber,Leeds,Leeds Central
Baby People,75000.00,Music,Midlands,East Midlands,Derby,Derby North
Babylon ARTS (operated by ADEC),60000.00,Visual arts,South East,East of England,East Cambridgeshire,South East Cambridgeshire
Backlash Ltd,63870.00,Music,London,London,Camden,Holborn and St Pancras
