,Region of Residence,,ICS/STP of Residence,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 65,492 "," 45,205 "," 51,670 "," 59,420 "," 57,557 "," 48,385 "," 40,797 "," 39,686 "," 27,953 "," 36,848 ",," 23,650 "," 8,982 "," 10,434 "," 12,819 "," 14,023 "," 14,039 "," 27,124 "," 37,195 "," 26,677 "," 35,055 ",," 683,011 ",,68.8%,80.3%,91.4%,96.4%,97.5%,95.5%,99.9%,100%*,92.8%,,28.3%,63.5%,93.6%,98.5%,88.3%
,East of England,,Cambridgeshire and Peterborough," 64,227 "," 38,966 "," 50,289 "," 57,505 "," 56,065 "," 47,733 "," 42,235 "," 43,575 "," 32,130 "," 43,213 ",," 28,135 "," 8,992 "," 10,310 "," 13,327 "," 15,441 "," 17,546 "," 27,640 "," 41,368 "," 30,851 "," 41,086 ",," 710,634 ",,68.9%,82.9%,92.1%,97.8%,99.0%,95.4%,98.2%,100%*,96.4%,,36.4%,62.4%,93.2%,100%*,91.7%
,East of England,,Hertfordshire and West Essex," 102,543 "," 75,638 "," 87,487 "," 98,600 "," 96,582 "," 79,576 "," 65,066 "," 65,473 "," 48,373 "," 71,915 ",," 38,766 "," 14,047 "," 16,753 "," 20,899 "," 24,417 "," 24,680 "," 49,534 "," 62,377 "," 46,781 "," 68,571 ",," 1,158,078 ",,75.0%,83.8%,91.6%,98.1%,99.5%,97.0%,98.2%,100%*,93.8%,,30.9%,73.9%,93.5%,99.5%,89.4%
,East of England,,Mid and South Essex," 82,040 "," 51,350 "," 65,442 "," 78,778 "," 76,992 "," 65,681 "," 56,648 "," 62,144 "," 44,992 "," 60,528 ",," 29,191 "," 10,881 "," 13,535 "," 17,609 "," 19,976 "," 22,171 "," 38,394 "," 58,182 "," 42,986 "," 57,404 ",," 954,924 ",,67.8%,78.5%,89.8%,96.5%,98.3%,92.8%,95.8%,100%*,95.1%,,33.2%,62.9%,89.7%,99.8%,90.2%
,East of England,,Norfolk and Waveney Health and Care Partnership," 71,603 "," 33,468 "," 50,856 "," 66,078 "," 69,419 "," 64,079 "," 60,947 "," 67,917 "," 51,237 "," 68,603 ",," 37,656 "," 10,826 "," 13,728 "," 17,634 "," 20,217 "," 22,106 "," 41,377 "," 64,447 "," 49,568 "," 66,664 ",," 948,430 ",,63.0%,79.3%,92.1%,97.8%,98.8%,94.1%,96.8%,100%*,96.2%,,34.1%,63.9%,91.9%,100%*,93.5%
,East of England,,Suffolk and North East Essex," 69,010 "," 31,392 "," 47,685 "," 63,290 "," 65,035 "," 58,732 "," 54,004 "," 60,406 "," 44,981 "," 59,856 ",," 32,120 "," 10,353 "," 12,895 "," 17,481 "," 21,435 "," 28,334 "," 44,921 "," 56,421 "," 42,727 "," 56,874 ",," 877,952 ",,58.5%,75.8%,90.9%,97.4%,98.6%,93.0%,97.4%,100%*,96.7%,,47.6%,77.4%,91.0%,100%*,91.9%
,London,,East London Health and Care Partnership," 155,531 "," 85,067 "," 88,726 "," 96,185 "," 86,657 "," 71,668 "," 54,852 "," 46,399 "," 31,762 "," 46,779 ",," 52,479 "," 18,384 "," 20,070 "," 24,752 "," 26,425 "," 28,167 "," 39,031 "," 41,602 "," 28,839 "," 42,322 ",," 1,085,697 ",,58.4%,70.3%,82.8%,87.2%,90.4%,88.4%,90.6%,88.2%,81.3%,,35.5%,62.9%,81.3%,80.1%,73.6%
,London,,North London Partners in Health and Care," 113,625 "," 66,442 "," 72,099 "," 76,288 "," 71,120 "," 58,323 "," 45,864 "," 41,200 "," 29,629 "," 42,564 ",," 42,782 "," 15,876 "," 18,740 "," 26,190 "," 33,618 "," 35,975 "," 38,861 "," 37,977 "," 27,443 "," 39,170 ",," 933,786 ",,61.6%,72.1%,79.5%,86.8%,90.7%,87.4%,88.1%,88.7%,83.1%,,55.9%,74.1%,81.3%,82.2%,76.5%
,London,,North West London Health and Care Partnership," 164,288 "," 91,064 "," 104,484 "," 114,183 "," 106,131 "," 88,739 "," 71,068 "," 61,695 "," 44,627 "," 63,967 ",," 62,462 "," 22,459 "," 26,272 "," 35,772 "," 42,489 "," 48,121 "," 59,092 "," 56,144 "," 41,064 "," 58,617 ",," 1,362,738 ",,58.0%,73.1%,84.3%,87.8%,88.8%,86.7%,88.4%,89.3%,83.0%,,48.2%,72.1%,80.4%,82.1%,76.1%
,London,,Our Healthier South East London," 130,987 "," 80,563 "," 91,431 "," 100,008 "," 93,811 "," 74,785 "," 55,757 "," 50,949 "," 36,257 "," 52,889 ",," 52,195 "," 18,659 "," 22,596 "," 28,468 "," 34,757 "," 36,655 "," 46,024 "," 47,075 "," 33,546 "," 48,687 ",," 1,136,099 ",,60.0%,75.4%,84.2%,89.4%,95.0%,93.1%,93.9%,94.7%,87.2%,,46.5%,76.9%,86.7%,87.6%,80.3%
,London,,South West London Health and Care Partnership," 109,505 "," 71,710 "," 82,359 "," 86,665 "," 80,260 "," 64,700 "," 51,862 "," 49,839 "," 34,779 "," 49,773 ",," 47,161 "," 16,541 "," 18,702 "," 23,873 "," 27,593 "," 29,667 "," 42,229 "," 46,273 "," 32,604 "," 45,818 ",," 1,011,913 ",,61.6%,77.7%,86.0%,91.0%,94.0%,91.6%,96.7%,97.6%,90.0%,,43.1%,74.6%,89.8%,91.5%,82.9%
