,Region of Residence,,ICS/STP of Residence,1st dose Under 45,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 45,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 99,662 "," 50,391 "," 59,268 "," 57,469 "," 48,323 "," 40,764 "," 39,673 "," 27,945 "," 36,888 ",," 26,633 "," 8,352 "," 9,976 "," 10,651 "," 9,949 "," 18,351 "," 34,419 "," 26,049 "," 34,691 ",," 639,454 ",,78.3%,91.2%,96.2%,97.4%,95.4%,99.9%,100%*,92.9%
,East of England,,Cambridgeshire and Peterborough," 91,209 "," 47,627 "," 57,362 "," 55,949 "," 47,671 "," 42,197 "," 43,560 "," 32,127 "," 43,253 ",," 32,985 "," 8,855 "," 11,143 "," 12,884 "," 13,935 "," 21,135 "," 40,497 "," 30,428 "," 40,568 ",," 673,385 ",,78.5%,91.8%,97.6%,98.8%,95.3%,98.1%,100%*,96.5%
,East of England,,Hertfordshire and West Essex," 160,728 "," 85,153 "," 98,368 "," 96,430 "," 79,481 "," 65,008 "," 65,440 "," 48,369 "," 71,980 ",," 43,725 "," 13,684 "," 16,718 "," 19,135 "," 18,604 "," 37,086 "," 58,589 "," 46,175 "," 67,855 ",," 1,092,528 ",,81.6%,91.4%,98.0%,99.4%,96.9%,98.1%,100%*,93.9%
,East of England,,Mid and South Essex," 123,155 "," 64,074 "," 78,547 "," 76,820 "," 65,609 "," 56,599 "," 62,134 "," 44,997 "," 60,607 ",," 33,753 "," 11,096 "," 13,957 "," 15,581 "," 16,695 "," 28,597 "," 53,803 "," 42,221 "," 56,703 ",," 904,948 ",,76.8%,89.5%,96.3%,98.1%,92.7%,95.8%,100%*,95.2%
,East of England,,Norfolk and Waveney Health and Care Partnership," 99,069 "," 48,098 "," 65,917 "," 69,302 "," 64,005 "," 60,878 "," 67,909 "," 51,248 "," 68,675 ",," 40,812 "," 11,060 "," 13,748 "," 14,886 "," 15,099 "," 29,445 "," 60,368 "," 48,228 "," 65,978 ",," 894,725 ",,75.0%,91.9%,97.7%,98.7%,94.0%,96.8%,100%*,96.3%
,East of England,,Suffolk and North East Essex," 93,924 "," 45,581 "," 63,167 "," 64,924 "," 58,642 "," 53,928 "," 60,367 "," 44,969 "," 59,924 ",," 35,629 "," 10,324 "," 13,508 "," 15,434 "," 18,281 "," 35,537 "," 51,436 "," 41,212 "," 55,875 ",," 822,662 ",,72.5%,90.7%,97.3%,98.5%,92.9%,97.4%,100%*,96.8%
,London,,East London Health and Care Partnership," 219,779 "," 85,309 "," 95,677 "," 86,332 "," 71,440 "," 54,715 "," 46,355 "," 31,735 "," 46,787 ",," 57,969 "," 15,948 "," 19,122 "," 20,519 "," 21,091 "," 30,884 "," 40,063 "," 28,087 "," 41,244 ",," 1,013,056 ",,67.5%,82.4%,86.8%,90.2%,88.2%,90.5%,88.1%,81.3%
,London,,North London Partners in Health and Care," 163,343 "," 69,919 "," 75,782 "," 70,776 "," 58,112 "," 45,766 "," 41,156 "," 29,599 "," 42,545 ",," 47,052 "," 14,646 "," 19,084 "," 24,729 "," 29,941 "," 35,796 "," 36,958 "," 26,869 "," 38,441 ",," 870,514 ",,69.9%,79.0%,86.3%,90.3%,87.2%,88.1%,88.6%,83.1%
,London,,North West London Health and Care Partnership," 231,781 "," 99,622 "," 113,184 "," 105,442 "," 88,318 "," 70,826 "," 61,599 "," 44,576 "," 63,995 ",," 65,977 "," 19,361 "," 25,146 "," 31,771 "," 37,647 "," 53,245 "," 54,295 "," 40,136 "," 57,601 ",," 1,264,522 ",,69.7%,83.6%,87.2%,88.4%,86.4%,88.2%,89.2%,83.1%
,London,,Our Healthier South East London," 193,598 "," 88,117 "," 99,460 "," 93,395 "," 74,550 "," 55,627 "," 50,903 "," 36,244 "," 52,915 ",," 57,275 "," 16,946 "," 21,894 "," 26,398 "," 27,741 "," 40,644 "," 45,649 "," 32,710 "," 47,535 ",," 1,061,601 ",,72.6%,83.7%,89.0%,94.7%,92.9%,93.8%,94.6%,87.2%
