,Region of Residence,,ICS/STP of Residence,1st dose Under 55,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 55,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 95,611 "," 24,425 "," 40,772 "," 39,265 "," 39,245 "," 27,744 "," 36,818 ",," 5,377 "," 1,088 ", 802 , 370 , 209 , 543 ," 8,542 ",," 320,811 ",,40.9%,82.2%,91.9%,98.8%,100%*,92.7%
,East of England,,Cambridgeshire and Peterborough," 102,105 "," 30,252 "," 43,364 "," 40,742 "," 43,162 "," 31,944 "," 43,216 ",," 4,780 ", 810 , 601 , 273 , 114 , 77 ," 7,981 ",," 349,421 ",,52.8%,89.9%,92.0%,97.2%,100%*,96.5%
,East of England,,Hertfordshire and West Essex," 145,992 "," 44,951 "," 68,002 "," 63,126 "," 64,780 "," 48,047 "," 72,114 ",," 7,573 "," 1,731 "," 1,228 ", 682 , 612 , 679 ," 21,779 ",," 541,296 ",,45.7%,85.1%,94.1%,97.1%,100%*,94.1%
,East of England,,Mid and South Essex," 110,474 "," 33,928 "," 45,909 "," 54,124 "," 61,457 "," 44,725 "," 60,749 ",," 4,241 ", 977 , 684 , 381 , 276 , 244 ," 12,375 ",," 430,544 ",,42.5%,68.7%,88.6%,94.8%,100%*,95.4%
,East of England,,Norfolk and Waveney Health and Care Partnership," 117,821 "," 37,129 "," 55,655 "," 58,849 "," 67,412 "," 51,072 "," 69,062 ",," 5,015 "," 1,119 ", 834 , 340 , 177 , 203 ," 15,894 ",," 480,582 ",,52.3%,85.8%,90.9%,96.1%,100%*,96.8%
,East of England,,Suffolk and North East Essex," 116,186 "," 42,570 "," 52,563 "," 52,855 "," 59,633 "," 44,556 "," 60,099 ",," 6,379 "," 1,330 ", 931 , 451 , 339 , 370 ," 6,652 ",," 444,914 ",,63.8%,88.3%,91.1%,96.2%,100%*,97.1%
,London,,East London Health and Care Partnership," 205,905 "," 50,234 "," 59,486 "," 51,166 "," 45,117 "," 31,014 "," 46,205 ",," 9,264 "," 1,430 "," 1,204 ", 672 , 693 , 706 ," 10,955 ",," 514,051 ",,50.5%,75.1%,82.5%,88.1%,86.1%,80.3%
,London,,North London Partners in Health and Care," 165,096 "," 54,049 "," 52,730 "," 43,857 "," 40,230 "," 29,033 "," 42,006 ",," 9,817 "," 1,518 "," 1,222 ", 841 , 793 ," 1,490 "," 12,828 ",," 455,510 ",,65.9%,82.0%,83.6%,86.1%,87.0%,82.0%
,London,,North West London Health and Care Partnership," 234,045 "," 78,924 "," 79,657 "," 67,731 "," 59,950 "," 43,630 "," 63,307 ",," 12,586 "," 1,952 "," 1,693 "," 1,313 "," 2,511 "," 1,714 "," 12,876 ",," 661,889 ",,65.3%,79.7%,82.7%,85.9%,87.3%,82.2%
,London,,Our Healthier South East London," 194,579 "," 60,526 "," 64,820 "," 53,190 "," 49,994 "," 35,602 "," 52,428 ",," 10,423 "," 1,694 "," 1,258 ", 722 ," 1,259 "," 1,666 "," 12,595 ",," 540,756 ",,57.7%,82.3%,88.8%,92.1%,93.0%,86.4%
,London,,South West London Health and Care Partnership," 162,600 "," 51,687 "," 57,259 "," 49,948 "," 48,817 "," 34,149 "," 49,376 ",," 12,817 "," 2,240 "," 1,748 "," 1,040 ", 879 , 898 ," 12,659 ",," 486,117 ",,58.6%,83.2%,88.2%,94.8%,95.9%,89.3%
,Midlands,,Birmingham and Solihull," 134,950 "," 45,461 "," 48,970 "," 43,651 "," 43,141 "," 32,853 "," 47,549 ",," 6,357 "," 1,128 ", 788 , 412 , 330 , 804 ," 11,105 ",," 417,499 ",,68.7%,90.1%,91.5%,96.4%,98.4%,90.3%
,Midlands,,Coventry and Warwickshire," 106,179 "," 37,382 "," 45,289 "," 42,054 "," 43,609 "," 34,618 "," 45,914 ",," 4,127 ", 872 , 643 , 289 , 228 , 459 ," 8,575 ",," 370,238 ",,64.1%,92.8%,94.6%,96.0%,100%*,97.2%
,Midlands,,Herefordshire and Worcestershire," 90,931 "," 33,876 "," 45,236 "," 45,592 "," 48,811 "," 36,840 "," 48,420 ",," 4,405 "," 1,103 ", 738 , 307 , 197 , 399 ," 11,411 ",," 368,266 ",,60.4%,90.3%,92.6%,98.0%,100%*,98.1%
,Midlands,,Joined Up Care Derbyshire," 115,473 "," 40,724 "," 54,258 "," 52,724 "," 55,835 "," 42,005 "," 53,497 ",," 5,274 "," 1,252 ", 897 , 304 , 146 , 89 ," 5,082 ",," 427,560 ",,56.3%,87.4%,92.4%,96.6%,100%*,96.2%
,Midlands,,"Leicester, Leicestershire and Rutland"," 114,995 "," 39,324 "," 52,665 "," 51,294 "," 52,628 "," 38,128 "," 50,903 ",," 5,545 "," 1,347 "," 1,142 ", 765 , 840 ," 1,674 "," 8,217 ",," 419,467 ",,55.6%,87.7%,92.4%,98.8%,100%*,96.4%
,Midlands,,Lincolnshire," 76,866 "," 28,840 "," 42,409 "," 43,473 "," 48,096 "," 36,269 "," 45,879 ",," 4,486 "," 1,092 ", 780 , 279 , 142 , 116 ," 6,279 ",," 335,006 ",,52.0%,85.9%,90.2%,95.8%,100%*,98.7%
,Midlands,,Northamptonshire," 75,006 "," 23,884 "," 35,100 "," 33,892 "," 36,349 "," 25,848 "," 32,021 ",," 3,540 ", 943 , 679 , 297 , 184 , 521 ," 10,021 ",," 278,285 ",,48.3%,85.9%,89.8%,96.4%,100%*,97.9%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 126,377 "," 39,100 "," 49,029 "," 46,535 "," 48,403 "," 35,859 "," 47,597 ",," 6,894 "," 1,485 "," 1,004 ", 370 , 163 , 93 ," 2,569 ",," 405,478 ",,58.3%,87.2%,90.6%,96.8%,100%*,95.6%
,Midlands,,Shropshire and Telford and Wrekin," 57,072 "," 22,906 "," 28,960 "," 27,854 "," 29,355 "," 22,595 "," 28,644 ",," 1,753 ", 434 , 280 , 108 , 52 , 38 ," 4,716 ",," 224,767 ",,62.4%,91.3%,91.9%,97.1%,100%*,100%*
,Midlands,,Staffordshire and Stoke on Trent," 136,998 "," 46,864 "," 62,592 "," 58,969 "," 62,674 "," 48,438 "," 60,458 ",," 9,386 "," 2,039 "," 1,528 ", 590 , 472 , 699 ," 15,372 ",," 507,079 ",,59.3%,91.8%,92.8%,96.6%,100%*,99.4%
,Midlands,,The Black Country and West Birmingham," 154,283 "," 49,381 "," 59,034 "," 54,724 "," 53,603 "," 42,419 "," 59,778 ",," 6,154 "," 1,391 "," 1,038 ", 527 , 398 , 652 ," 11,618 ",," 495,000 ",,59.5%,87.0%,90.9%,95.8%,94.2%,93.0%
,North East and Yorkshire,,Cumbria and North East," 315,030 "," 98,364 "," 125,044 "," 156,614 "," 163,538 "," 113,118 "," 155,127 ",," 22,605 "," 5,306 "," 4,039 "," 1,456 ", 840 ," 1,259 "," 35,877 ",," 1,198,217 ",,46.1%,65.3%,92.0%,99.1%,100%*,96.3%
,North East and Yorkshire,,"Humber, Coast and Vale"," 177,777 "," 65,250 "," 89,890 "," 92,934 "," 101,182 "," 71,643 "," 98,477 ",," 5,801 "," 1,531 "," 1,055 ", 501 , 336 , 468 ," 23,965 ",," 730,810 ",,52.5%,82.9%,92.0%,98.6%,100%*,97.5%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 162,507 "," 45,845 "," 61,790 "," 69,567 "," 72,890 "," 54,445 "," 71,568 ",," 8,114 "," 2,130 "," 1,725 ", 743 , 525 ," 1,056 "," 16,277 ",," 569,182 ",,45.9%,71.8%,91.4%,96.1%,100%*,95.2%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 268,273 "," 81,073 "," 111,121 "," 102,692 "," 106,388 "," 74,269 "," 102,120 ",," 12,896 "," 3,211 "," 2,380 "," 1,411 "," 1,418 "," 2,050 "," 29,473 ",," 898,775 ",,54.7%,87.6%,91.0%,98.1%,100%*,95.3%
,North West,,Cheshire and Merseyside," 300,605 "," 95,790 "," 129,295 "," 126,256 "," 130,025 "," 93,195 "," 128,628 ",," 13,798 "," 3,087 "," 2,184 "," 1,128 "," 1,545 "," 2,144 "," 24,122 ",," 1,051,802 ",,54.1%,85.3%,92.2%,97.9%,99.6%,95.0%
,North West,,Greater Manchester Health and Social Care Partnership," 349,050 "," 104,665 "," 121,534 "," 115,939 "," 120,663 "," 86,062 "," 111,385 ",," 13,599 "," 3,138 "," 2,439 "," 1,338 "," 1,029 "," 1,303 "," 21,306 ",," 1,053,450 ",,59.5%,83.7%,90.6%,97.0%,99.1%,94.2%
,North West,,Healthier Lancashire and South Cumbria," 189,140 "," 65,963 "," 89,919 "," 86,405 "," 93,857 "," 68,280 "," 89,500 ",," 9,592 "," 2,393 "," 1,710 ", 748 , 703 , 994 ," 25,017 ",," 724,221 ",,55.3%,87.1%,91.3%,96.4%,100%*,96.8%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 172,132 "," 56,531 "," 80,898 "," 75,971 "," 79,506 "," 60,458 "," 85,436 ",," 11,138 "," 2,338 "," 1,689 ", 785 , 619 ," 1,078 "," 16,996 ",," 645,575 ",,49.9%,86.8%,94.0%,97.6%,100%*,96.7%
,South East,,Frimley Health and Care ICS," 74,355 "," 23,790 "," 31,116 "," 30,627 "," 30,527 "," 22,883 "," 32,752 ",," 5,337 "," 1,092 ", 763 , 371 , 155 , 176 ," 6,323 ",," 260,267 ",,50.0%,82.2%,96.0%,97.0%,100%*,96.0%
,South East,,Hampshire and the Isle of Wight," 195,174 "," 65,194 "," 93,861 "," 90,488 "," 98,133 "," 74,219 "," 102,843 ",," 10,233 "," 2,249 "," 1,718 ", 752 , 455 , 805 ," 32,487 ",," 768,611 ",,52.3%,87.6%,93.6%,95.6%,100%*,96.7%
,South East,,Kent and Medway," 192,800 "," 61,628 "," 88,392 "," 86,720 "," 96,486 "," 70,823 "," 93,875 ",," 14,591 "," 3,252 "," 2,402 "," 1,136 ", 762 ," 1,197 "," 23,138 ",," 737,202 ",,49.6%,83.5%,90.0%,95.2%,100%*,95.9%
,South East,,Surrey Heartlands Health and Care Partnership," 103,894 "," 40,421 "," 50,453 "," 46,931 "," 49,341 "," 37,836 "," 57,605 ",," 6,504 "," 1,392 "," 1,059 ", 516 , 309 , 263 ," 7,946 ",," 404,470 ",,56.1%,87.1%,93.6%,95.2%,100%*,95.0%
,South East,,Sussex and East Surrey Health and Care Partnership," 193,470 "," 61,011 "," 90,067 "," 86,683 "," 97,249 "," 73,466 "," 105,770 ",," 11,515 "," 2,428 "," 1,841 ", 814 , 500 ," 1,251 "," 13,292 ",," 739,357 ",,51.8%,88.4%,90.8%,94.9%,100%*,94.6%
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 93,303 "," 32,753 "," 47,837 "," 46,295 "," 48,450 "," 36,203 "," 50,279 ",," 3,549 ", 796 , 559 , 224 , 117 , 84 ," 7,927 ",," 368,376 ",,51.2%,89.5%,95.0%,98.9%,100%*,99.9%
,South West,,"Bristol, North Somerset and South Gloucestershire"," 113,513 "," 31,144 "," 41,855 "," 40,787 "," 42,690 "," 32,728 "," 45,774 ",," 7,222 "," 1,317 ", 939 , 387 , 201 , 350 ," 12,396 ",," 371,303 ",,55.3%,88.9%,94.7%,97.7%,100%*,96.7%
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 60,070 "," 21,628 "," 34,469 "," 34,953 "," 38,929 "," 28,719 "," 35,957 ",," 7,396 "," 1,623 "," 1,221 ", 476 , 242 , 274 ," 6,268 ",," 272,225 ",,51.0%,86.9%,90.6%,95.3%,100%*,98.3%
,South West,,Devon," 134,707 "," 40,249 "," 62,080 "," 69,363 "," 76,814 "," 58,455 "," 79,233 ",," 9,996 "," 2,091 "," 1,499 ", 620 , 342 , 331 ," 14,931 ",," 550,711 ",,47.0%,79.2%,92.0%,96.8%,100%*,99.6%
,South West,,Dorset," 86,500 "," 34,709 "," 42,782 "," 44,840 "," 50,905 "," 38,870 "," 56,694 ",," 2,868 ", 748 , 531 , 280 , 186 , 140 ," 10,345 ",," 370,398 ",,63.1%,85.9%,91.3%,96.5%,100%*,98.5%
,South West,,Gloucestershire," 64,980 "," 24,357 "," 33,132 "," 34,053 "," 35,635 "," 27,146 "," 37,170 ",," 5,395 "," 1,255 ", 954 , 383 , 316 , 770 ," 11,005 ",," 276,551 ",,53.0%,84.0%,92.1%,96.8%,100%*,99.4%
,South West,,Somerset," 69,038 "," 23,471 "," 32,813 "," 33,718 "," 37,320 "," 27,996 "," 37,794 ",," 3,035 ", 674 , 490 , 187 , 109 , 97 ," 6,260 ",," 273,002 ",,56.3%,87.4%,89.9%,99.0%,100%*,98.7%
