,Region of Residence,,ICS/STP of Residence,1st dose Under 45,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 45,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 88,662 "," 46,149 "," 59,072 "," 57,317 "," 48,255 "," 40,712 "," 39,648 "," 27,950 "," 36,909 ",," 22,731 "," 6,919 "," 8,168 "," 8,733 "," 7,948 "," 11,339 "," 27,329 "," 24,331 "," 33,897 ",," 596,069 ",,71.7%,90.9%,96.0%,97.3%,95.3%,99.8%,100%*,92.9%
,East of England,,Cambridgeshire and Peterborough," 84,066 "," 44,062 "," 57,177 "," 55,820 "," 47,613 "," 42,157 "," 43,527 "," 32,125 "," 43,286 ",," 29,738 "," 7,638 "," 9,216 "," 9,767 "," 10,169 "," 16,425 "," 36,825 "," 29,413 "," 39,405 ",," 638,429 ",,72.6%,91.5%,97.3%,98.7%,95.2%,98.0%,100%*,96.6%
,East of England,,Hertfordshire and West Essex," 142,207 "," 78,458 "," 98,094 "," 96,256 "," 79,377 "," 64,927 "," 65,386 "," 48,359 "," 72,046 ",," 37,850 "," 11,770 "," 13,903 "," 15,412 "," 14,179 "," 23,014 "," 49,127 "," 44,865 "," 66,700 ",," 1,021,930 ",,75.2%,91.2%,97.8%,99.3%,96.8%,98.0%,100%*,94.0%
,East of England,,Mid and South Essex," 115,582 "," 61,853 "," 78,349 "," 76,679 "," 65,558 "," 56,543 "," 62,098 "," 44,980 "," 60,679 ",," 28,845 "," 9,329 "," 11,426 "," 12,443 "," 12,256 "," 16,766 "," 43,314 "," 40,218 "," 55,406 ",," 852,324 ",,74.2%,89.3%,96.1%,98.1%,92.6%,95.7%,100%*,95.3%
,East of England,,Norfolk and Waveney Health and Care Partnership," 94,613 "," 43,072 "," 65,743 "," 69,187 "," 63,926 "," 60,804 "," 67,869 "," 51,253 "," 68,758 ",," 36,846 "," 9,765 "," 12,107 "," 12,809 "," 12,320 "," 18,142 "," 48,319 "," 45,319 "," 64,817 ",," 845,669 ",,67.1%,91.6%,97.5%,98.5%,93.9%,96.7%,100%*,96.4%
,East of England,,Suffolk and North East Essex," 90,526 "," 42,174 "," 63,079 "," 64,824 "," 58,577 "," 53,877 "," 60,332 "," 44,957 "," 59,989 ",," 31,418 "," 8,999 "," 10,969 "," 12,288 "," 12,359 "," 19,560 "," 41,920 "," 38,935 "," 54,606 ",," 769,389 ",,67.1%,90.6%,97.1%,98.4%,92.8%,97.3%,100%*,96.9%
,London,,East London Health and Care Partnership," 202,721 "," 80,813 "," 95,063 "," 85,902 "," 71,210 "," 54,553 "," 46,277 "," 31,706 "," 46,810 ",," 49,722 "," 13,558 "," 15,400 "," 16,209 "," 16,745 "," 25,050 "," 37,866 "," 27,183 "," 39,944 ",," 956,732 ",,64.0%,81.9%,86.4%,89.9%,88.0%,90.4%,88.1%,81.4%
,London,,North London Partners in Health and Care," 152,398 "," 67,692 "," 75,334 "," 70,482 "," 57,937 "," 45,632 "," 41,139 "," 29,565 "," 42,555 ",," 38,450 "," 11,498 "," 13,960 "," 18,607 "," 24,665 "," 32,760 "," 35,503 "," 26,245 "," 37,715 ",," 822,137 ",,67.6%,78.5%,86.0%,90.1%,87.0%,88.0%,88.5%,83.1%
,London,,North West London Health and Care Partnership," 216,413 "," 94,927 "," 112,514 "," 104,956 "," 88,022 "," 70,630 "," 61,513 "," 44,531 "," 64,034 ",," 54,407 "," 14,905 "," 18,294 "," 21,702 "," 25,625 "," 44,271 "," 50,507 "," 38,657 "," 56,233 ",," 1,182,141 ",,66.4%,83.1%,86.8%,88.1%,86.2%,88.1%,89.1%,83.1%
,London,,Our Healthier South East London," 177,335 "," 82,804 "," 98,902 "," 93,022 "," 74,369 "," 55,522 "," 50,854 "," 36,217 "," 52,924 ",," 49,652 "," 14,048 "," 17,783 "," 20,384 "," 20,797 "," 32,545 "," 43,106 "," 31,476 "," 45,871 ",," 997,611 ",,68.3%,83.3%,88.6%,94.4%,92.7%,93.7%,94.6%,87.2%
,London,,South West London Health and Care Partnership," 143,932 "," 73,053 "," 85,801 "," 79,667 "," 64,344 "," 51,686 "," 49,749 "," 34,706 "," 49,810 ",," 44,187 "," 12,109 "," 14,798 "," 17,019 "," 17,982 "," 28,661 "," 39,241 "," 30,479 "," 43,626 ",," 880,850 ",,69.0%,85.1%,90.3%,93.5%,91.3%,96.6%,97.4%,90.1%
,Midlands,,Birmingham and Solihull," 128,122 "," 51,522 "," 63,089 "," 60,869 "," 53,317 "," 44,941 "," 43,652 "," 33,177 "," 47,844 ",," 31,359 "," 8,704 "," 10,614 "," 11,276 "," 11,411 "," 16,107 "," 35,966 "," 29,677 "," 42,867 ",," 724,514 ",,72.6%,87.3%,92.0%,98.1%,94.2%,97.6%,99.4%,90.8%
,Midlands,,Coventry and Warwickshire," 90,738 "," 45,681 "," 58,395 "," 56,936 "," 49,382 "," 42,830 "," 44,024 "," 34,925 "," 46,016 ",," 25,986 "," 7,967 "," 9,594 "," 10,396 "," 9,578 "," 15,568 "," 35,374 "," 31,874 "," 42,146 ",," 657,410 ",,76.3%,93.6%,97.7%,100%*,96.3%,96.9%,100%*,97.4%
,Midlands,,Herefordshire and Worcestershire," 71,648 "," 36,313 "," 53,153 "," 55,020 "," 49,419 "," 46,325 "," 49,111 "," 37,053 "," 48,285 ",," 21,937 "," 6,393 "," 8,340 "," 9,123 "," 8,502 "," 13,765 "," 35,279 "," 34,413 "," 45,561 ",," 629,640 ",,69.3%,90.3%,98.1%,98.6%,94.1%,98.6%,100%*,97.8%
,Midlands,,Joined Up Care Derbyshire," 122,038 "," 55,033 "," 70,438 "," 70,229 "," 61,233 "," 54,109 "," 56,303 "," 42,226 "," 53,475 ",," 29,090 "," 8,443 "," 10,544 "," 11,004 ",," 17,787 "," 45,722 "," 39,009 "," 49,160 ",," 804,831 ",,77.7%,89.3%,97.0%,98.7%,94.8%,97.4%,100%*,96.2%
,Midlands,,"Leicester, Leicestershire and Rutland"," 119,302 "," 53,284 "," 68,927 "," 66,884 "," 60,170 "," 52,878 "," 53,111 "," 38,397 "," 50,824 ",," 31,264 "," 8,637 "," 10,787 "," 11,438 "," 10,841 "," 14,303 "," 35,573 "," 34,075 "," 45,633 ",," 766,328 ",,75.3%,92.0%,94.6%,100%*,95.3%,99.7%,100%*,96.3%
,Midlands,,Lincolnshire," 73,691 "," 37,928 "," 49,578 "," 53,348 "," 48,209 "," 44,583 "," 48,478 "," 36,463 "," 45,780 ",," 19,665 "," 5,550 "," 7,183 "," 7,670 "," 6,341 "," 6,655 "," 31,095 "," 31,647 "," 42,289 ",," 596,153 ",,77.3%,90.6%,96.2%,97.6%,92.5%,96.6%,100%*,98.4%
,Midlands,,Northamptonshire," 63,852 "," 36,523 "," 49,131 "," 47,933 "," 40,016 "," 35,125 "," 36,627 "," 25,996 "," 31,944 ",," 17,105 "," 5,228 "," 6,421 "," 6,962 "," 6,308 "," 9,587 "," 27,369 "," 23,866 "," 29,484 ",," 499,477 ",,70.2%,90.3%,96.9%,97.9%,93.0%,97.1%,100%*,97.6%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 105,255 "," 47,765 "," 62,864 "," 63,305 "," 54,520 "," 47,667 "," 48,927 "," 36,212 "," 48,099 ",," 28,940 "," 7,279 "," 8,659 "," 8,777 "," 6,701 "," 4,341 "," 30,104 "," 31,559 "," 43,000 ",," 683,974 ",,72.0%,88.6%,94.3%,97.0%,92.8%,97.9%,100%*,96.7%
,Midlands,,Shropshire and Telford and Wrekin," 44,559 "," 22,572 "," 33,970 "," 34,975 "," 31,062 "," 28,500 "," 29,545 "," 22,703 "," 28,608 ",," 13,819 "," 4,144 "," 4,992 "," 5,501 "," 4,623 "," 6,477 "," 22,019 "," 19,816 "," 26,547 ",," 384,432 ",,66.6%,89.4%,95.3%,97.9%,94.0%,97.7%,100%*,99.9%
,Midlands,,Staffordshire and Stoke on Trent," 115,368 "," 55,706 "," 76,469 "," 75,533 "," 67,602 "," 60,081 "," 63,108 "," 48,603 "," 60,403 ",," 31,577 "," 9,329 "," 11,771 "," 12,299 "," 11,104 "," 17,837 "," 47,783 "," 44,864 "," 56,665 ",," 866,102 ",,72.4%,91.5%,95.5%,99.2%,94.5%,97.2%,100%*,99.3%
,Midlands,,The Black Country and West Birmingham," 140,229 "," 57,881 "," 80,271 "," 75,907 "," 65,423 "," 56,682 "," 54,250 "," 42,804 "," 60,087 ",," 32,925 "," 9,751 "," 11,559 "," 11,910 "," 10,739 "," 16,418 "," 38,123 "," 37,714 "," 53,477 ",," 856,150 ",,64.4%,88.2%,91.5%,96.4%,94.1%,96.9%,95.1%,93.5%
,North East and Yorkshire,,Cumbria and North East," 289,803 "," 132,094 "," 190,180 "," 204,209 "," 188,808 "," 165,614 "," 164,974 "," 113,544 "," 154,618 ",," 99,855 "," 26,502 "," 34,180 "," 37,218 "," 32,141 "," 37,552 "," 110,041 "," 104,775 "," 145,377 ",," 2,231,485 ",,69.8%,89.7%,95.8%,98.7%,97.3%,100.0%,100%*,96.0%
,North East and Yorkshire,,"Humber, Coast and Vale"," 149,946 "," 80,993 "," 111,718 "," 119,284 "," 107,458 "," 96,197 "," 101,773 "," 71,929 "," 98,064 ",," 48,820 "," 14,053 "," 17,857 "," 20,699 "," 18,976 "," 23,444 "," 75,231 "," 66,057 "," 91,948 ",," 1,314,447 ",,72.9%,90.1%,96.0%,99.1%,95.2%,99.2%,100%*,97.1%
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 169,330 "," 73,468 "," 95,714 "," 95,367 "," 84,323 "," 72,728 "," 73,603 "," 54,791 "," 71,414 ",," 48,631 "," 13,134 "," 17,366 "," 18,969 "," 17,414 "," 26,887 "," 53,459 "," 48,272 "," 65,594 ",," 1,100,464 ",,74.7%,90.3%,95.5%,97.9%,95.6%,97.1%,100%*,95.0%
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 237,206 "," 106,910 "," 143,730 "," 140,518 "," 123,751 "," 106,120 "," 107,369 "," 74,694 "," 102,000 ",," 74,528 "," 20,989 "," 27,253 "," 30,375 "," 31,112 "," 43,569 "," 80,852 "," 67,417 "," 93,179 ",," 1,611,572 ",,68.6%,90.5%,94.8%,97.5%,94.0%,99.0%,100%*,95.2%
,North West,,Cheshire and Merseyside," 256,182 "," 111,376 "," 158,902 "," 169,678 "," 151,084 "," 130,411 "," 131,405 "," 93,930 "," 128,835 ",," 79,071 "," 22,761 "," 30,086 "," 35,017 "," 33,618 "," 39,622 "," 98,250 "," 85,083 "," 117,649 ",," 1,872,960 ",,68.4%,89.7%,95.9%,99.7%,95.3%,98.9%,100%*,95.2%
,North West,,Greater Manchester Health and Social Care Partnership," 294,748 "," 119,888 "," 168,311 "," 165,165 "," 141,353 "," 120,180 "," 122,277 "," 87,116 "," 111,995 ",," 93,526 "," 26,212 "," 33,242 "," 36,631 "," 35,011 "," 53,805 "," 98,529 "," 78,380 "," 99,619 ",," 1,885,988 ",,65.1%,87.2%,93.9%,97.4%,94.0%,98.3%,100%*,94.7%
,North West,,Healthier Lancashire and South Cumbria," 174,930 "," 74,478 "," 109,402 "," 113,876 "," 102,407 "," 89,531 "," 94,728 "," 68,582 "," 89,381 ",," 50,977 "," 15,137 "," 20,110 "," 23,084 "," 22,697 "," 35,071 "," 77,327 "," 63,940 "," 83,653 ",," 1,309,311 ",,66.8%,89.2%,95.4%,99.2%,94.6%,97.3%,100%*,96.6%
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 151,315 "," 86,071 "," 114,881 "," 112,201 "," 94,109 "," 78,682 "," 80,082 "," 60,763 "," 85,264 ",," 43,801 "," 11,911 "," 13,757 "," 15,031 "," 13,455 "," 19,398 "," 51,486 "," 54,309 "," 78,930 ",," 1,165,446 ",,72.0%,93.5%,99.1%,100%*,97.3%,98.3%,100%*,96.5%
,South East,,Frimley Health and Care ICS," 80,841 "," 43,680 "," 49,163 "," 46,344 "," 38,130 "," 31,370 "," 30,859 "," 23,061 "," 32,794 ",," 18,647 "," 5,531 "," 6,058 "," 6,423 "," 6,122 "," 10,466 "," 22,831 "," 20,114 "," 30,327 ",," 502,761 ",,79.3%,91.2%,97.4%,100%*,98.3%,98.1%,100%*,96.1%
,South East,,Hampshire and the Isle of Wight," 189,794 "," 89,275 "," 117,134 "," 121,318 "," 106,853 "," 92,909 "," 98,894 "," 74,640 "," 102,605 ",," 56,784 "," 15,014 "," 17,905 "," 19,498 "," 17,207 "," 19,197 "," 64,592 "," 66,414 "," 95,110 ",," 1,365,143 ",,75.3%,91.4%,97.3%,99.7%,96.1%,96.4%,100%*,96.5%
