,Region of Residence,,ICS/STP of Residence,1st dose Under 45,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 45,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 85,688 "," 36,669 "," 58,815 "," 57,148 "," 48,177 "," 40,666 "," 39,640 "," 27,941 "," 36,943 ",," 19,383 "," 5,781 "," 6,756 "," 7,280 "," 6,432 "," 6,869 "," 18,362 "," 20,337 "," 32,285 ",," 555,172 ",,57.0%,90.5%,95.7%,97.1%,95.2%,99.8%,100%*,93.0%
,East of England,,Cambridgeshire and Peterborough," 80,953 "," 33,409 "," 56,982 "," 55,698 "," 47,552 "," 42,134 "," 43,476 "," 32,087 "," 43,334 ",," 26,063 "," 6,610 "," 7,592 "," 7,677 "," 6,954 "," 9,310 "," 27,769 "," 26,721 "," 37,812 ",," 592,133 ",,55.1%,91.2%,97.1%,98.6%,95.1%,97.9%,100%*,96.7%
,East of England,,Hertfordshire and West Essex," 135,845 "," 60,869 "," 97,670 "," 96,022 "," 79,258 "," 64,834 "," 65,318 "," 48,331 "," 72,126 ",," 31,838 "," 9,809 "," 11,318 "," 12,376 "," 10,732 "," 12,914 "," 33,243 "," 40,499 "," 64,386 ",," 947,388 ",,58.3%,90.8%,97.5%,99.1%,96.7%,97.9%,100%*,94.1%
,East of England,,Mid and South Essex," 111,364 "," 53,172 "," 77,937 "," 76,449 "," 65,427 "," 56,464 "," 62,023 "," 44,971 "," 60,695 ",," 24,600 "," 7,775 "," 9,377 "," 9,609 "," 8,406 "," 8,512 "," 28,952 "," 36,257 "," 53,370 ",," 795,360 ",,63.8%,88.8%,95.8%,97.9%,92.5%,95.6%,100%*,95.3%
,East of England,,Norfolk and Waveney Health and Care Partnership," 91,669 "," 34,423 "," 65,477 "," 69,041 "," 63,805 "," 60,713 "," 67,823 "," 51,236 "," 68,831 ",," 32,095 "," 8,334 "," 9,960 "," 10,196 "," 8,860 "," 9,353 "," 27,280 "," 38,252 "," 62,064 ",," 779,412 ",,53.6%,91.3%,97.3%,98.4%,93.8%,96.7%,100%*,96.5%
,East of England,,Suffolk and North East Essex," 88,756 "," 33,837 "," 62,914 "," 64,687 "," 58,525 "," 53,798 "," 60,258 "," 44,936 "," 60,044 ",," 27,224 "," 7,565 "," 9,132 "," 9,764 "," 8,547 "," 9,390 "," 24,691 "," 30,497 "," 51,769 ",," 706,334 ",,53.8%,90.3%,96.9%,98.3%,92.7%,97.2%,100%*,97.0%
,London,,East London Health and Care Partnership," 195,862 "," 69,035 "," 94,282 "," 85,362 "," 70,931 "," 54,359 "," 46,181 "," 31,659 "," 46,822 ",," 39,602 "," 10,422 "," 11,532 "," 11,527 "," 10,728 "," 15,487 "," 30,323 "," 24,681 "," 37,683 ",," 886,478 ",,54.7%,81.2%,85.9%,89.5%,87.6%,90.2%,87.9%,81.4%
,London,,North London Partners in Health and Care," 146,505 "," 62,130 "," 74,751 "," 70,057 "," 57,692 "," 45,467 "," 41,053 "," 29,516 "," 42,545 ",," 31,536 "," 8,493 "," 10,002 "," 11,657 "," 16,113 "," 24,649 "," 30,495 "," 24,656 "," 36,223 ",," 763,540 ",,62.1%,77.9%,85.5%,89.7%,86.7%,87.8%,88.4%,83.1%
,London,,North West London Health and Care Partnership," 209,252 "," 82,940 "," 111,529 "," 104,316 "," 87,662 "," 70,346 "," 61,382 "," 44,466 "," 64,020 ",," 44,902 "," 11,338 "," 13,401 "," 14,972 "," 16,680 "," 26,982 "," 41,586 "," 35,406 "," 53,582 ",," 1,094,762 ",,58.0%,82.4%,86.3%,87.7%,85.8%,87.9%,88.9%,83.1%
,London,,Our Healthier South East London," 164,975 "," 71,064 "," 98,016 "," 92,451 "," 74,058 "," 55,308 "," 50,756 "," 36,153 "," 52,899 ",," 41,435 "," 11,132 "," 13,408 "," 15,022 "," 14,275 "," 22,113 "," 36,119 "," 27,931 "," 42,580 ",," 919,695 ",,58.6%,82.5%,88.1%,94.0%,92.4%,93.5%,94.4%,87.2%
