,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 84,880 "," 39,976 "," 46,784 "," 45,846 "," 39,931 "," 39,379 "," 27,800 "," 36,817 ",," 6,642 "," 1,796 "," 1,630 "," 1,185 ", 564 , 322 , 680 ," 8,916 ",," 383,148 ",,61.5%,78.3%,92.4%,93.4%,99.1%,100%*,92.7%
,East of England,,Cambridgeshire and Peterborough," 87,900 "," 41,425 "," 47,670 "," 45,820 "," 41,444 "," 43,237 "," 31,973 "," 43,259 ",," 7,004 "," 1,498 "," 1,353 ", 964 , 438 , 174 , 111 ," 9,663 ",," 403,933 ",,66.3%,83.1%,95.0%,93.6%,97.4%,100%*,96.5%
,East of England,,Hertfordshire and West Essex," 131,820 "," 62,407 "," 77,159 "," 75,204 "," 63,931 "," 64,945 "," 48,121 "," 72,117 ",," 11,073 "," 2,955 "," 3,052 "," 2,201 "," 1,150 "," 1,111 "," 1,748 "," 25,283 ",," 644,277 ",,58.0%,78.4%,94.1%,95.3%,97.4%,100%*,94.1%
,East of England,,Mid and South Essex," 102,167 "," 49,445 "," 58,030 "," 60,612 "," 55,460 "," 61,630 "," 44,788 "," 60,692 ",," 5,203 "," 1,526 "," 1,524 "," 1,101 ", 707 , 829 ," 1,107 "," 16,942 ",," 521,763 ",,56.4%,72.7%,90.7%,90.8%,95.0%,100%*,95.3%
,East of England,,Norfolk and Waveney Health and Care Partnership," 99,867 "," 50,271 "," 58,234 "," 61,043 "," 59,845 "," 67,537 "," 51,104 "," 68,978 ",," 7,198 "," 1,890 "," 1,860 "," 1,357 ", 588 , 392 , 524 ," 18,253 ",," 548,941 ",,70.1%,82.1%,94.1%,92.4%,96.3%,100%*,96.7%
,East of England,,Suffolk and North East Essex," 98,612 "," 53,553 "," 57,942 "," 57,030 "," 53,244 "," 59,771 "," 44,618 "," 60,015 ",," 9,387 "," 2,365 "," 2,389 "," 1,719 ", 847 , 623 , 714 ," 7,424 ",," 510,253 ",,76.9%,86.8%,95.8%,91.7%,96.4%,100%*,97.0%
,London,,East London Health and Care Partnership," 185,209 "," 63,321 "," 71,366 "," 65,555 "," 52,502 "," 45,394 "," 31,189 "," 46,361 ",," 12,261 "," 2,373 "," 2,140 "," 1,763 "," 1,015 "," 1,024 "," 1,567 "," 13,373 ",," 596,413 ",,54.5%,71.8%,82.7%,84.7%,88.7%,86.6%,80.6%
,London,,North London Partners in Health and Care," 142,745 "," 59,711 "," 63,258 "," 54,822 "," 44,385 "," 40,445 "," 29,167 "," 42,117 ",," 12,955 "," 2,579 "," 2,490 "," 1,941 "," 1,339 "," 1,366 "," 2,771 "," 17,725 ",," 519,816 ",,62.2%,77.2%,85.2%,84.6%,86.5%,87.4%,82.2%
,London,,North West London Health and Care Partnership," 211,485 "," 85,272 "," 93,873 "," 83,064 "," 68,603 "," 60,352 "," 43,832 "," 63,479 ",," 16,506 "," 3,209 "," 3,181 "," 2,802 "," 2,439 "," 3,858 "," 3,012 "," 15,593 ",," 760,560 ",,63.0%,77.6%,83.1%,83.7%,86.4%,87.7%,82.4%
,London,,Our Healthier South East London," 171,457 "," 72,292 "," 79,101 "," 69,940 "," 54,003 "," 50,227 "," 35,733 "," 52,586 ",," 13,518 "," 2,503 "," 2,491 "," 1,861 "," 1,067 "," 2,347 "," 2,518 "," 13,890 ",," 625,534 ",,60.9%,75.4%,88.8%,90.2%,92.5%,93.3%,86.7%
