,Region of Residence,,ICS/STP of Residence,1st dose Under 30,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 30,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 30,626 "," 26,339 "," 44,136 "," 55,124 "," 55,356 "," 60,328 "," 58,157 "," 49,098 "," 40,952 "," 39,725 "," 27,944 "," 36,735 ",," 16,782 "," 10,944 "," 13,483 "," 16,287 "," 19,743 "," 35,089 "," 33,674 "," 39,429 "," 38,628 "," 38,707 "," 27,328 "," 35,795 ",," 850,409 ",,38.2%,61.4%,83.9%,86.0%,92.8%,97.4%,99.0%,95.8%,100%*,100%*,92.5%,,54.0%,56.4%,79.5%,90.4%,97.5%,100%*,90.1%
,East of England,,Cambridgeshire and Peterborough," 33,249 "," 27,476 "," 43,527 "," 50,702 "," 53,353 "," 58,139 "," 56,600 "," 48,314 "," 42,379 "," 43,644 "," 32,130 "," 43,083 ",," 19,461 "," 12,200 "," 13,509 "," 15,526 "," 19,960 "," 36,994 "," 33,792 "," 41,815 "," 39,908 "," 42,706 "," 31,546 "," 42,032 ",," 882,045 ",,47.6%,73.8%,89.7%,87.9%,93.1%,98.7%,100%*,95.7%,98.3%,100%*,96.2%,,59.2%,58.9%,86.7%,90.1%,96.2%,100%*,93.8%
,East of England,,Hertfordshire and West Essex," 48,111 "," 43,460 "," 72,084 "," 87,522 "," 91,401 "," 99,507 "," 97,383 "," 80,702 "," 65,293 "," 65,483 "," 48,350 "," 71,621 ",," 27,817 "," 17,182 "," 20,967 "," 25,379 "," 31,849 "," 61,253 "," 60,096 "," 67,693 "," 62,260 "," 64,137 "," 47,505 "," 69,583 ",," 1,426,638 ",,45.4%,69.2%,86.8%,87.6%,92.5%,98.9%,100%*,97.4%,98.2%,100%*,93.4%,,56.9%,61.0%,84.7%,92.8%,96.2%,100%*,90.8%
,East of England,,Mid and South Essex," 42,132 "," 38,770 "," 55,134 "," 62,742 "," 69,300 "," 79,744 "," 77,745 "," 66,082 "," 56,825 "," 62,211 "," 44,995 "," 60,356 ",," 20,602 "," 13,137 "," 15,547 "," 19,520 "," 26,025 "," 44,383 "," 44,977 "," 49,417 "," 53,420 "," 60,521 "," 43,980 "," 58,828 ",," 1,166,393 ",,50.7%,71.1%,82.8%,83.1%,90.9%,97.4%,98.9%,93.1%,95.9%,100%*,94.8%,,50.6%,56.4%,73.9%,87.5%,93.3%,100%*,92.4%
,East of England,,Norfolk and Waveney Health and Care Partnership," 41,226 "," 31,864 "," 42,243 "," 47,490 "," 55,311 "," 66,861 "," 70,185 "," 64,781 "," 61,182 "," 67,976 "," 51,174 "," 68,312 ",," 24,963 "," 13,552 "," 14,493 "," 16,756 "," 21,773 "," 41,409 "," 41,791 "," 54,795 "," 58,315 "," 66,741 "," 50,414 "," 67,292 ",," 1,140,899 ",,54.4%,74.0%,89.4%,86.2%,93.2%,98.9%,99.9%,94.5%,96.9%,100%*,95.8%,,57.7%,58.9%,84.5%,90.1%,95.1%,100%*,94.4%
,East of England,,Suffolk and North East Essex," 39,626 "," 29,880 "," 40,854 "," 47,822 "," 53,920 "," 64,078 "," 65,748 "," 59,202 "," 54,184 "," 60,446 "," 44,976 "," 59,610 ",," 22,813 "," 13,220 "," 14,341 "," 16,601 "," 21,197 "," 42,018 "," 46,144 "," 52,520 "," 52,549 "," 59,272 "," 44,152 "," 58,193 ",," 1,063,366 ",,50.6%,71.5%,89.1%,85.7%,92.0%,98.5%,99.4%,93.3%,97.5%,100%*,96.3%,,60.3%,69.1%,88.2%,90.5%,95.6%,100%*,94.0%
,London,,East London Health and Care Partnership," 70,540 "," 71,873 "," 103,371 "," 109,558 "," 98,786 "," 98,830 "," 88,685 "," 73,050 "," 55,382 "," 46,622 "," 31,848 "," 46,751 ",," 34,811 "," 25,298 "," 29,659 "," 33,516 "," 36,477 "," 53,055 "," 52,499 "," 56,456 "," 49,505 "," 43,943 "," 30,098 "," 43,942 ",," 1,384,555 ",,34.0%,55.3%,75.3%,78.2%,85.1%,89.2%,92.2%,89.3%,91.1%,88.4%,81.3%,,45.7%,52.8%,71.2%,79.8%,85.8%,83.6%,76.4%
,London,,North London Partners in Health and Care," 56,409 "," 50,415 "," 72,536 "," 79,232 "," 76,730 "," 78,378 "," 72,728 "," 59,161 "," 46,258 "," 41,457 "," 29,737 "," 42,551 ",," 27,266 "," 18,293 "," 21,330 "," 26,553 "," 36,963 "," 51,833 "," 53,474 "," 50,730 "," 42,500 "," 39,377 "," 28,312 "," 40,160 ",," 1,142,383 ",,36.2%,57.5%,73.5%,76.7%,81.7%,88.7%,92.0%,88.2%,88.7%,89.1%,83.1%,,54.0%,65.2%,78.9%,81.0%,84.2%,84.8%,78.4%
,London,,North West London Health and Care Partnership," 81,476 "," 77,522 "," 109,531 "," 120,152 "," 116,122 "," 117,943 "," 109,242 "," 90,526 "," 71,803 "," 62,041 "," 44,832 "," 63,927 ",," 41,700 "," 27,653 "," 32,702 "," 38,727 "," 46,309 "," 70,704 "," 77,822 "," 77,504 "," 66,138 "," 58,806 "," 42,705 "," 60,451 ",," 1,706,338 ",,43.3%,62.0%,76.6%,81.2%,87.1%,90.3%,90.6%,87.6%,88.9%,89.7%,83.0%,,52.2%,64.3%,77.6%,80.7%,84.2%,85.4%,78.5%
,London,,Our Healthier South East London," 61,424 "," 66,427 "," 94,947 "," 103,191 "," 98,650 "," 102,362 "," 95,877 "," 75,955 "," 56,174 "," 51,093 "," 36,319 "," 52,754 ",," 33,574 "," 24,095 "," 25,820 "," 31,757 "," 39,492 "," 62,171 "," 63,507 "," 62,679 "," 51,736 "," 48,933 "," 34,814 "," 50,185 ",," 1,423,936 ",,37.0%,59.5%,76.9%,81.3%,86.2%,91.4%,96.4%,93.8%,94.1%,94.8%,87.0%,,52.3%,60.5%,79.6%,86.4%,90.1%,90.9%,82.7%
,London,,South West London Health and Care Partnership," 54,432 "," 57,979 "," 82,767 "," 92,863 "," 88,948 "," 88,622 "," 82,217 "," 65,729 "," 52,241 "," 50,001 "," 34,855 "," 49,727 ",," 30,494 "," 19,659 "," 21,405 "," 26,035 "," 31,380 "," 53,323 "," 54,822 "," 55,072 "," 48,698 "," 47,941 "," 33,471 "," 47,046 ",," 1,269,727 ",,44.8%,62.6%,79.7%,84.0%,87.9%,93.2%,95.5%,92.3%,97.1%,97.9%,89.9%,,52.9%,62.2%,80.0%,86.0%,93.1%,94.0%,85.1%
,Midlands,,Birmingham and Solihull," 46,285 "," 36,869 "," 48,052 "," 55,122 "," 57,530 "," 64,819 "," 62,338 "," 54,072 "," 45,285 "," 43,753 "," 33,214 "," 47,582 ",," 23,797 "," 14,299 "," 17,100 "," 20,500 "," 25,877 "," 40,331 "," 44,954 "," 46,703 "," 42,272 "," 42,282 "," 32,228 "," 45,749 ",," 991,013 ",,46.0%,63.4%,81.1%,81.1%,89.7%,94.3%,99.5%,94.9%,97.8%,99.5%,90.3%,,55.8%,68.0%,85.9%,88.6%,94.5%,96.5%,86.9%
,Midlands,,Coventry and Warwickshire," 33,367 "," 30,230 "," 42,091 "," 47,809 "," 51,634 "," 59,645 "," 58,306 "," 50,100 "," 43,093 "," 44,132 "," 34,948 "," 45,837 ",," 19,580 "," 11,716 "," 13,169 "," 17,608 "," 23,054 "," 39,336 "," 41,155 "," 43,479 "," 41,365 "," 43,114 "," 34,168 "," 44,221 ",," 913,157 ",,46.4%,70.7%,88.8%,86.3%,95.6%,100%*,100%*,96.9%,97.1%,100%*,97.0%,,63.1%,70.6%,89.1%,93.0%,94.9%,100%*,93.6%
,Midlands,,Herefordshire and Worcestershire," 28,138 "," 22,831 "," 31,433 "," 37,544 "," 43,846 "," 54,044 "," 55,927 "," 49,943 "," 46,513 "," 49,161 "," 37,023 "," 47,939 ",," 16,397 "," 9,638 "," 11,201 "," 13,329 "," 18,337 "," 35,523 "," 37,420 "," 43,099 "," 44,792 "," 48,198 "," 36,438 "," 47,078 ",," 865,792 ",,51.2%,68.9%,85.4%,83.6%,91.8%,99.7%,99.6%,94.4%,98.7%,100%*,97.1%,,60.3%,66.7%,86.0%,90.9%,96.7%,100%*,95.4%
