,Region of Residence,,ICS/STP of Residence,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 81,051 "," 53,415 "," 54,449 "," 59,984 "," 57,897 "," 48,670 "," 40,890 "," 39,708 "," 27,945 "," 36,773 ",," 35,412 "," 13,824 "," 16,064 "," 26,139 "," 26,133 "," 30,768 "," 37,640 "," 38,461 "," 27,209 "," 35,627 ",," 788,059 ",,81.3%,84.6%,92.3%,96.9%,98.1%,95.7%,100.0%,100%*,92.6%,,40.2%,43.8%,62.0%,88.1%,96.8%,100%*,89.7%
,East of England,,Cambridgeshire and Peterborough," 88,627 "," 48,664 "," 52,492 "," 57,891 "," 56,388 "," 47,931 "," 42,320 "," 43,617 "," 32,133 "," 43,134 ",," 40,041 "," 13,415 "," 16,416 "," 27,166 "," 27,740 "," 34,169 "," 38,723 "," 42,490 "," 31,460 "," 41,930 ",," 826,747 ",,86.1%,86.5%,92.7%,98.3%,99.4%,95.6%,98.2%,100%*,96.3%,,43.5%,48.4%,70.8%,87.4%,95.7%,100%*,93.6%
,East of England,,Hertfordshire and West Essex," 139,453 "," 85,744 "," 90,551 "," 99,191 "," 97,018 "," 79,982 "," 65,211 "," 65,479 "," 48,352 "," 71,738 ",," 56,683 "," 21,646 "," 26,504 "," 42,550 "," 47,246 "," 54,417 "," 61,042 "," 63,869 "," 47,354 "," 69,507 ",," 1,333,537 ",,85.1%,86.8%,92.2%,98.6%,100%*,97.2%,98.2%,100%*,93.6%,,39.5%,48.0%,68.1%,91.0%,95.8%,100%*,90.7%
,East of England,,Mid and South Essex," 121,596 "," 61,461 "," 68,690 "," 79,469 "," 77,483 "," 65,960 "," 56,785 "," 62,202 "," 44,995 "," 60,390 ",," 43,197 "," 16,446 "," 20,798 "," 32,231 "," 34,937 "," 40,846 "," 51,967 "," 60,157 "," 43,795 "," 58,596 ",," 1,102,001 ",,81.1%,82.4%,90.6%,97.1%,98.7%,93.0%,95.9%,100%*,94.9%,,36.7%,43.8%,61.1%,85.1%,92.7%,100%*,92.0%
,East of England,,Norfolk and Waveney Health and Care Partnership," 99,104 "," 46,038 "," 54,697 "," 66,646 "," 69,881 "," 64,380 "," 61,115 "," 67,960 "," 51,204 "," 68,421 ",," 48,470 "," 14,714 "," 18,877 "," 28,740 "," 32,463 "," 41,971 "," 56,102 "," 66,325 "," 50,271 "," 67,214 ",," 1,074,593 ",,86.6%,85.2%,92.9%,98.5%,99.2%,94.4%,96.9%,100%*,95.9%,,40.1%,45.8%,64.7%,86.6%,94.5%,100%*,94.2%
,East of England,,Suffolk and North East Essex," 96,203 "," 46,197 "," 53,147 "," 63,815 "," 65,391 "," 58,958 "," 54,132 "," 60,442 "," 44,980 "," 59,685 ",," 45,896 "," 15,094 "," 18,904 "," 31,570 "," 36,027 "," 46,810 "," 51,509 "," 58,874 "," 43,937 "," 58,065 ",," 1,009,636 ",,86.0%,84.5%,91.6%,98.0%,99.0%,93.3%,97.5%,100%*,96.4%,,45.3%,54.0%,78.6%,88.7%,95.0%,100%*,93.8%
,London,,East London Health and Care Partnership," 205,154 "," 105,136 "," 96,588 "," 98,054 "," 87,915 "," 72,483 "," 55,201 "," 46,553 "," 31,825 "," 46,759 ",," 78,270 "," 29,127 "," 31,596 "," 42,933 "," 43,369 "," 46,237 "," 47,553 "," 43,388 "," 29,837 "," 43,594 ",," 1,281,572 ",,72.2%,76.5%,84.4%,88.4%,91.5%,89.0%,90.9%,88.4%,81.3%,,37.0%,43.6%,58.3%,76.7%,84.7%,82.9%,75.8%
,London,,North London Partners in Health and Care," 152,440 "," 77,025 "," 75,595 "," 77,714 "," 72,096 "," 58,842 "," 46,137 "," 41,389 "," 29,708 "," 42,578 ",," 59,085 "," 22,952 "," 29,631 "," 43,314 "," 47,381 "," 46,603 "," 41,716 "," 39,089 "," 28,116 "," 39,963 ",," 1,071,374 ",,71.4%,75.5%,81.0%,87.9%,91.5%,88.0%,88.6%,89.0%,83.1%,,45.2%,57.8%,72.4%,79.5%,83.6%,84.2%,78.0%
,London,,North West London Health and Care Partnership," 220,933 "," 114,302 "," 113,086 "," 116,731 "," 107,935 "," 89,819 "," 71,572 "," 61,914 "," 44,781 "," 63,953 ",," 89,500 "," 33,860 "," 38,678 "," 56,496 "," 64,245 "," 69,516 "," 64,724 "," 58,158 "," 42,339 "," 60,014 ",," 1,582,556 ",,72.8%,79.1%,86.2%,89.2%,89.9%,87.3%,88.7%,89.6%,83.0%,,41.7%,53.1%,69.6%,79.0%,83.3%,84.7%,77.9%
,London,,Our Healthier South East London," 181,628 "," 100,080 "," 97,024 "," 101,642 "," 95,173 "," 75,514 "," 56,037 "," 51,043 "," 36,308 "," 52,838 ",," 74,948 "," 28,306 "," 33,892 "," 48,422 "," 52,603 "," 54,302 "," 50,636 "," 48,579 "," 34,575 "," 49,888 ",," 1,323,438 ",,74.6%,80.0%,85.6%,90.7%,95.9%,93.6%,94.0%,94.8%,87.1%,,40.8%,50.1%,68.9%,84.6%,89.5%,90.3%,82.2%
,London,,South West London Health and Care Partnership," 160,955 "," 89,421 "," 87,530 "," 87,929 "," 81,249 "," 65,179 "," 52,121 "," 49,943 "," 34,823 "," 49,739 ",," 64,338 "," 23,184 "," 26,714 "," 39,745 "," 44,163 "," 46,741 "," 47,679 "," 47,590 "," 33,244 "," 46,696 ",," 1,178,983 ",,76.8%,82.6%,87.2%,92.1%,94.7%,92.0%,97.0%,97.8%,90.0%,,39.4%,50.1%,67.9%,84.2%,92.4%,93.3%,84.5%
,Midlands,,Birmingham and Solihull," 115,148 "," 53,197 "," 56,441 "," 64,323 "," 61,728 "," 53,793 "," 45,184 "," 43,739 "," 33,210 "," 47,620 ",," 48,311 "," 17,297 "," 20,814 "," 30,547 "," 34,802 "," 39,551 "," 41,293 "," 41,985 "," 32,052 "," 45,516 ",," 926,551 ",,78.2%,79.5%,89.0%,93.3%,99.0%,94.7%,97.8%,99.4%,90.4%,,42.3%,52.6%,72.8%,86.5%,93.8%,96.0%,86.4%
,Midlands,,Coventry and Warwickshire," 91,249 "," 46,544 "," 50,921 "," 59,351 "," 57,813 "," 49,820 "," 43,068 "," 44,123 "," 34,948 "," 45,901 ",," 39,962 "," 14,910 "," 18,192 "," 28,881 "," 31,884 "," 35,804 "," 40,731 "," 42,934 "," 34,081 "," 44,081 ",," 855,198 ",,86.4%,85.1%,95.1%,99.2%,100%*,96.8%,97.1%,100%*,97.1%,,46.3%,54.7%,73.4%,91.6%,94.5%,100%*,93.3%
,Midlands,,Herefordshire and Worcestershire," 72,934 "," 35,805 "," 43,259 "," 53,791 "," 55,616 "," 49,716 "," 46,475 "," 49,153 "," 37,027 "," 48,012 ",," 33,163 "," 11,719 "," 15,076 "," 24,631 "," 28,887 "," 34,393 "," 44,026 "," 47,980 "," 36,321 "," 47,009 ",," 814,993 ",,81.4%,82.5%,91.4%,99.1%,99.2%,94.4%,98.7%,100%*,97.3%,,41.8%,51.5%,68.6%,89.4%,96.3%,100%*,95.2%
,Midlands,,Joined Up Care Derbyshire," 117,516 "," 50,244 "," 58,889 "," 71,206 "," 70,822 "," 61,611 "," 54,333 "," 56,357 "," 42,188 "," 53,152 ",," 42,828 "," 14,344 "," 18,914 "," 30,547 "," 33,218 "," 43,228 "," 50,871 "," 55,066 "," 41,387 "," 51,831 ",," 1,018,552 ",,86.9%,83.2%,90.3%,97.8%,99.3%,95.2%,97.5%,100%*,95.6%,,38.7%,45.9%,69.7%,89.1%,95.3%,100%*,93.2%
,Midlands,,"Leicester, Leicestershire and Rutland"," 114,422 "," 54,325 "," 60,306 "," 70,158 "," 67,659 "," 60,741 "," 53,169 "," 53,235 "," 38,403 "," 50,578 ",," 46,375 "," 15,673 "," 19,239 "," 27,359 "," 31,426 "," 42,981 "," 49,351 "," 51,610 "," 37,294 "," 48,055 ",," 992,359 ",,86.1%,85.2%,93.7%,95.7%,100%*,95.8%,99.9%,100%*,95.8%,,36.5%,44.5%,71.6%,88.9%,96.9%,100%*,91.0%
,Midlands,,Lincolnshire," 69,370 "," 34,046 "," 40,898 "," 50,219 "," 53,889 "," 48,577 "," 44,787 "," 48,569 "," 36,451 "," 45,578 ",," 29,332 "," 8,983 "," 12,385 "," 19,637 "," 24,421 "," 31,479 "," 41,551 "," 47,310 "," 35,611 "," 44,495 ",," 767,588 ",,86.2%,83.3%,91.8%,97.2%,98.3%,92.9%,96.8%,100%*,98.0%,,35.9%,44.0%,63.7%,86.2%,94.3%,100%*,95.7%
,Midlands,,Northamptonshire," 60,770 "," 37,948 "," 42,972 "," 49,922 "," 48,452 "," 40,360 "," 35,281 "," 36,684 "," 25,977 "," 31,802 ",," 27,597 "," 10,128 "," 12,844 "," 21,750 "," 23,097 "," 28,568 "," 32,297 "," 35,693 "," 25,395 "," 30,838 ",," 658,375 ",,82.1%,82.6%,91.8%,98.0%,98.7%,93.4%,97.3%,100%*,97.2%,,40.0%,46.7%,69.9%,85.5%,94.6%,100%*,94.2%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 95,290 "," 47,592 "," 53,153 "," 63,610 "," 63,848 "," 54,847 "," 47,860 "," 48,995 "," 36,216 "," 47,912 ",," 52,846 "," 16,790 "," 20,728 "," 27,540 "," 31,252 "," 39,679 "," 45,110 "," 47,365 "," 35,037 "," 45,640 ",," 921,310 ",,80.8%,80.1%,89.7%,95.1%,97.6%,93.2%,98.0%,100%*,96.3%,,38.8%,46.6%,70.6%,87.8%,94.7%,100%*,91.7%
,Midlands,,Shropshire and Telford and Wrekin," 43,663 "," 22,159 "," 27,255 "," 34,305 "," 35,257 "," 31,247 "," 28,597 "," 29,575 "," 22,697 "," 28,476 ",," 22,253 "," 7,129 "," 9,663 "," 17,018 "," 17,075 "," 23,021 "," 27,229 "," 28,988 "," 22,308 "," 27,788 ",," 505,703 ",,79.5%,80.4%,90.3%,96.1%,98.5%,94.3%,97.8%,100%*,99.4%,,44.8%,46.5%,72.5%,89.8%,95.9%,100%*,97.0%
,Midlands,,Staffordshire and Stoke on Trent," 113,257 "," 53,228 "," 62,852 "," 77,342 "," 76,239 "," 67,988 "," 60,377 "," 63,164 "," 48,544 "," 60,175 ",," 51,641 "," 17,339 "," 24,228 "," 37,462 "," 38,398 "," 53,025 "," 57,429 "," 61,669 "," 47,503 "," 58,684 ",," 1,130,544 ",,84.5%,81.7%,92.5%,96.4%,99.7%,95.0%,97.3%,100%*,98.9%,,44.8%,48.6%,77.8%,90.3%,95.0%,100%*,96.5%
,Midlands,,The Black Country and West Birmingham," 135,410 "," 63,877 "," 70,065 "," 81,877 "," 76,879 "," 66,062 "," 57,014 "," 54,357 "," 42,820 "," 59,801 ",," 55,876 "," 19,859 "," 24,417 "," 35,129 "," 36,181 "," 45,445 "," 51,760 "," 52,186 "," 41,351 "," 57,131 ",," 1,127,497 ",,78.3%,77.9%,90.0%,92.6%,97.3%,94.7%,97.1%,95.1%,93.1%,,38.6%,43.6%,66.9%,86.0%,93.2%,91.8%,88.9%
,North East and Yorkshire,,Cumbria and North East," 291,244 "," 139,356 "," 156,794 "," 193,332 "," 206,438 "," 190,325 "," 166,382 "," 165,191 "," 113,456 "," 153,734 ",," 131,642 "," 41,851 "," 51,640 "," 80,500 "," 98,494 "," 110,508 "," 148,889 "," 160,841 "," 111,249 "," 149,082 ",," 2,860,948 ",,86.5%,82.8%,91.1%,96.8%,99.4%,97.7%,100%*,100%*,95.4%,,37.9%,46.2%,57.7%,87.5%,97.5%,99.9%,92.5%
,North East and Yorkshire,,"Humber, Coast and Vale"," 152,545 "," 77,701 "," 92,107 "," 113,241 "," 120,280 "," 108,029 "," 96,501 "," 101,869 "," 71,869 "," 97,537 ",," 69,870 "," 21,977 "," 29,394 "," 49,956 "," 59,295 "," 72,906 "," 88,499 "," 99,660 "," 70,543 "," 94,969 ",," 1,688,748 ",,84.8%,82.9%,91.3%,96.8%,99.6%,95.5%,99.3%,100%*,96.5%,,40.3%,47.7%,67.2%,87.6%,97.1%,100%*,94.0%
