Region of Residence,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+
 East of England ," Bedfordshire, Luton and Milton Keynes "," 44,539 "," 39,494 "," 50,085 "," 55,929 "," 58,531 "," 57,449 "," 61,307 "," 58,719 "," 49,510 "," 41,085 "," 39,745 "," 27,888 "," 36,486 ",," 12,521 "," 12,097 "," 16,572 "," 21,534 "," 34,060 "," 41,824 "," 57,298 "," 55,809 "," 47,302 "," 40,106 "," 39,077 "," 27,478 "," 35,845 "
 East of England , Cambridgeshire and Peterborough ," 51,557 "," 43,518 "," 50,166 "," 52,250 "," 53,079 "," 54,729 "," 58,757 "," 57,037 "," 48,615 "," 42,521 "," 43,674 "," 32,096 "," 42,806 ",," 13,688 "," 13,314 "," 16,197 "," 18,643 "," 31,840 "," 42,529 "," 56,182 "," 55,066 "," 47,017 "," 41,681 "," 43,110 "," 31,725 "," 42,165 "
 East of England , Hertfordshire and West Essex ," 71,125 "," 60,074 "," 73,156 "," 83,569 "," 91,022 "," 93,550 "," 100,408 "," 97,988 "," 81,024 "," 65,409 "," 65,454 "," 48,329 "," 71,158 ",," 21,078 "," 19,826 "," 25,953 "," 34,471 "," 60,698 "," 75,378 "," 95,744 "," 94,399 "," 78,068 "," 64,133 "," 64,647 "," 47,774 "," 69,691 "
 East of England , Mid and South Essex ," 52,917 "," 45,666 "," 56,050 "," 62,205 "," 65,145 "," 70,809 "," 80,497 "," 78,331 "," 66,350 "," 56,900 "," 62,146 "," 44,947 "," 59,907 ",," 16,136 "," 15,938 "," 21,106 "," 26,428 "," 41,385 "," 55,476 "," 75,839 "," 74,682 "," 64,172 "," 55,581 "," 61,059 "," 44,319 "," 58,882 "
 East of England , Norfolk and Waveney Health and Care Partnership ," 52,879 "," 41,988 "," 47,836 "," 48,840 "," 49,665 "," 56,712 "," 67,462 "," 70,729 "," 65,129 "," 61,334 "," 67,984 "," 51,083 "," 67,810 ",," 16,979 "," 14,784 "," 18,144 "," 20,409 "," 28,982 "," 42,071 "," 64,505 "," 68,342 "," 63,334 "," 60,387 "," 67,271 "," 50,618 "," 67,132 "
 East of England , Suffolk and North East Essex ," 46,796 "," 38,519 "," 45,384 "," 46,811 "," 49,718 "," 55,172 "," 64,723 "," 66,236 "," 59,451 "," 54,256 "," 60,499 "," 44,916 "," 59,207 ",," 16,037 "," 14,824 "," 19,132 "," 21,463 "," 28,372 "," 39,953 "," 62,106 "," 64,052 "," 58,061 "," 53,416 "," 59,734 "," 44,360 "," 58,202 "
 London , East London Health and Care Partnership ," 89,255 "," 113,430 "," 135,719 "," 130,626 "," 119,415 "," 105,107 "," 101,873 "," 90,744 "," 74,186 "," 55,830 "," 46,823 "," 31,928 "," 46,554 ",," 25,411 "," 33,234 "," 48,198 "," 57,192 "," 68,329 "," 72,609 "," 91,172 "," 82,649 "," 69,000 "," 53,092 "," 45,215 "," 30,848 "," 44,676 "
 London , North London Partners in Health and Care ," 70,589 "," 80,380 "," 90,564 "," 86,346 "," 84,750 "," 80,349 "," 80,443 "," 74,253 "," 59,993 "," 46,660 "," 41,675 "," 29,794 "," 42,426 ",," 22,342 "," 28,195 "," 36,594 "," 44,573 "," 57,349 "," 65,234 "," 72,888 "," 68,251 "," 56,464 "," 44,592 "," 40,309 "," 28,850 "," 40,822 "
 London , North West London Health and Care Partnership ," 107,104 "," 116,549 "," 130,553 "," 132,915 "," 130,675 "," 122,857 "," 121,584 "," 111,830 "," 91,832 "," 72,467 "," 62,371 "," 44,941 "," 63,676 ",," 30,863 "," 37,516 "," 50,098 "," 62,719 "," 81,560 "," 91,731 "," 109,683 "," 102,261 "," 86,100 "," 69,174 "," 60,192 "," 43,449 "," 61,186 "
 London , Our Healthier South East London ," 71,363 "," 107,584 "," 121,283 "," 113,240 "," 109,064 "," 102,305 "," 104,454 "," 97,561 "," 76,775 "," 56,567 "," 51,270 "," 36,359 "," 52,502 ",," 20,947 "," 29,933 "," 40,140 "," 48,548 "," 71,781 "," 80,144 "," 95,061 "," 89,907 "," 72,153 "," 54,160 "," 49,861 "," 35,415 "," 50,803 "
