,Region of Residence,,ICS/STP of Residence,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 71,436 "," 49,783 "," 53,134 "," 59,650 "," 57,718 "," 48,497 "," 40,851 "," 39,694 "," 27,954 "," 36,812 ",," 29,462 "," 11,411 "," 13,216 "," 16,949 "," 18,455 "," 20,138 "," 35,571 "," 38,093 "," 27,049 "," 35,393 ",," 731,266 ",,75.8%,82.5%,91.8%,96.6%,97.8%,95.6%,99.9%,100%*,92.7%,,40.6%,83.2%,95.9%,99.8%,89.1%
,East of England,,Cambridgeshire and Peterborough," 73,942 "," 46,787 "," 51,791 "," 57,683 "," 56,228 "," 47,821 "," 42,290 "," 43,605 "," 32,135 "," 43,173 ",," 33,324 "," 11,018 "," 13,218 "," 18,245 "," 22,010 "," 24,060 "," 34,368 "," 42,116 "," 31,271 "," 41,688 ",," 766,773 ",,82.8%,85.4%,92.4%,98.1%,99.1%,95.5%,98.2%,100%*,96.4%,,49.9%,77.6%,94.9%,100%*,93.0%
,East of England,,Hertfordshire and West Essex," 116,109 "," 82,525 "," 89,320 "," 98,879 "," 96,769 "," 79,799 "," 65,150 "," 65,490 "," 48,356 "," 71,830 ",," 46,735 "," 17,324 "," 20,604 "," 27,383 "," 33,173 "," 37,650 "," 58,206 "," 63,376 "," 47,140 "," 69,192 ",," 1,235,010 ",,81.9%,85.6%,91.9%,98.3%,99.8%,97.2%,98.2%,100%*,93.7%,,47.1%,86.8%,95.0%,100%*,90.3%
,East of England,,Mid and South Essex," 97,669 "," 58,487 "," 67,484 "," 79,122 "," 77,236 "," 65,809 "," 56,729 "," 62,171 "," 44,997 "," 60,464 ",," 35,400 "," 13,127 "," 16,488 "," 22,160 "," 24,944 "," 29,016 "," 47,295 "," 59,552 "," 43,530 "," 58,154 ",," 1,019,834 ",,77.2%,80.9%,90.2%,96.8%,98.4%,92.9%,95.9%,100%*,95.0%,,43.4%,77.5%,91.8%,100%*,91.4%
,East of England,,Norfolk and Waveney Health and Care Partnership," 82,667 "," 42,003 "," 53,431 "," 66,398 "," 69,605 "," 64,214 "," 61,041 "," 67,935 "," 51,212 "," 68,505 ",," 43,401 "," 12,667 "," 16,261 "," 22,056 "," 25,456 "," 28,127 "," 49,978 "," 65,720 "," 50,014 "," 67,000 ",," 1,007,691 ",,79.0%,83.3%,92.6%,98.1%,99.0%,94.3%,96.8%,100%*,96.1%,,43.4%,77.2%,93.7%,100%*,93.9%
,East of England,,Suffolk and North East Essex," 78,635 "," 41,761 "," 51,118 "," 63,549 "," 65,204 "," 58,831 "," 54,073 "," 60,441 "," 44,991 "," 59,774 ",," 39,634 "," 12,837 "," 16,100 "," 23,146 "," 28,845 "," 39,227 "," 49,990 "," 58,104 "," 43,427 "," 57,414 ",," 947,101 ",,77.8%,81.3%,91.2%,97.7%,98.8%,93.2%,97.5%,100%*,96.6%,,65.9%,86.1%,93.7%,100%*,92.8%
,London,,East London Health and Care Partnership," 173,360 "," 97,349 "," 93,019 "," 97,101 "," 87,192 "," 72,030 "," 55,008 "," 46,473 "," 31,779 "," 46,768 ",," 64,406 "," 23,395 "," 25,385 "," 32,106 "," 34,350 "," 36,367 "," 44,023 "," 42,630 "," 29,416 "," 43,056 ",," 1,175,213 ",,66.9%,73.6%,83.6%,87.7%,90.9%,88.7%,90.8%,88.3%,81.3%,,45.9%,71.0%,83.3%,81.7%,74.9%
,London,,North London Partners in Health and Care," 132,021 "," 73,718 "," 74,060 "," 76,934 "," 71,572 "," 58,563 "," 46,003 "," 41,292 "," 29,665 "," 42,570 ",," 50,544 "," 18,998 "," 22,586 "," 32,877 "," 39,840 "," 40,635 "," 40,437 "," 38,583 "," 27,800 "," 39,649 ",," 998,347 ",,68.3%,74.0%,80.2%,87.3%,91.0%,87.7%,88.3%,88.8%,83.1%,,63.2%,77.1%,82.5%,83.3%,77.4%
,London,,North West London Health and Care Partnership," 186,088 "," 104,412 "," 109,305 "," 115,502 "," 107,045 "," 89,342 "," 71,346 "," 61,819 "," 44,696 "," 63,965 ",," 77,328 "," 28,611 "," 32,693 "," 45,231 "," 52,131 "," 58,406 "," 62,798 "," 57,427 "," 41,872 "," 59,478 ",," 1,469,495 ",,66.5%,76.4%,85.3%,88.5%,89.4%,87.1%,88.5%,89.4%,83.0%,,58.4%,76.6%,82.3%,83.7%,77.2%
,London,,Our Healthier South East London," 147,404 "," 93,711 "," 94,643 "," 100,867 "," 94,405 "," 75,128 "," 55,880 "," 51,001 "," 36,276 "," 52,869 ",," 64,166 "," 23,490 "," 27,888 "," 36,423 "," 43,215 "," 45,910 "," 48,939 "," 48,007 "," 34,229 "," 49,511 ",," 1,223,962 ",,69.8%,78.0%,84.9%,90.0%,95.4%,93.3%,94.0%,94.7%,87.1%,,58.3%,81.7%,88.4%,89.4%,81.6%
