,Region of Residence,,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 22,855 "," 25,261 "," 44,059 "," 52,103 "," 56,971 "," 56,367 "," 60,757 "," 58,420 "," 49,383 "," 41,041 "," 39,744 "," 27,908 "," 36,638 ",," 10,626 "," 10,497 "," 13,821 "," 17,001 "," 20,634 "," 26,974 "," 51,614 "," 52,297 "," 46,008 "," 39,663 "," 38,937 "," 27,429 "," 35,881 ",," 962,889 ",,43.4%,63.9%,72.4%,86.7%,87.5%,93.5%,97.8%,99.5%,96.0%,100%*,100%*,92.2%,,79.4%,87.6%,92.7%,92.8%,98.0%,100%*,90.3%
,East of England,,Cambridgeshire and Peterborough," 19,676 "," 24,341 "," 44,666 "," 49,214 "," 51,941 "," 54,010 "," 58,440 "," 56,841 "," 48,473 "," 42,455 "," 43,659 "," 32,119 "," 42,961 ",," 11,678 "," 11,834 "," 14,337 "," 15,827 "," 18,189 "," 25,909 "," 52,326 "," 52,196 "," 46,098 "," 41,231 "," 42,947 "," 31,665 "," 42,168 ",," 975,201 ",,44.1%,77.4%,83.4%,91.9%,89.0%,93.6%,99.1%,100%*,95.9%,98.3%,100%*,95.9%,,83.8%,91.0%,95.6%,93.1%,96.7%,100%*,94.1%
,East of England,,Hertfordshire and West Essex," 28,174 "," 34,846 "," 66,031 "," 79,189 "," 89,221 "," 92,373 "," 99,919 "," 97,672 "," 80,947 "," 65,340 "," 65,480 "," 48,357 "," 71,415 ",," 17,871 "," 17,162 "," 21,332 "," 26,235 "," 33,378 "," 45,196 "," 86,943 "," 89,643 "," 76,584 "," 63,569 "," 64,473 "," 47,669 "," 69,689 ",," 1,578,708 ",,39.8%,68.9%,76.0%,88.5%,88.5%,92.9%,99.2%,100%*,97.4%,98.2%,100%*,93.1%,,80.8%,91.1%,95.8%,94.8%,96.7%,100%*,90.9%
,East of England,,Mid and South Essex," 22,934 "," 28,936 "," 50,964 "," 59,493 "," 63,871 "," 69,971 "," 80,104 "," 78,065 "," 66,200 "," 56,858 "," 62,164 "," 44,966 "," 60,162 ",," 12,994 "," 13,116 "," 16,841 "," 19,933 "," 27,484 "," 38,128 "," 65,337 "," 67,755 "," 62,277 "," 54,930 "," 60,839 "," 44,158 "," 58,901 ",," 1,287,381 ",,41.2%,66.7%,76.7%,84.3%,83.9%,91.3%,97.8%,99.0%,93.1%,95.8%,100%*,94.5%,,74.5%,84.9%,93.2%,90.0%,93.8%,100%*,92.5%
,East of England,,Norfolk and Waveney Health and Care Partnership," 25,275 "," 26,509 "," 43,496 "," 46,511 "," 48,616 "," 55,974 "," 67,119 "," 70,461 "," 64,972 "," 61,237 "," 67,977 "," 51,125 "," 68,077 ",," 14,969 "," 13,280 "," 15,437 "," 16,889 "," 21,772 "," 28,802 "," 58,448 "," 65,573 "," 62,139 "," 59,886 "," 67,112 "," 50,543 "," 67,269 ",," 1,239,468 ",,46.1%,74.3%,81.5%,91.5%,87.2%,93.6%,99.3%,100%*,94.6%,96.9%,100%*,95.5%,,81.5%,92.4%,95.8%,92.5%,95.7%,100%*,94.3%
,East of England,,Suffolk and North East Essex," 23,540 "," 25,141 "," 40,891 "," 44,576 "," 48,803 "," 54,533 "," 64,390 "," 65,947 "," 59,322 "," 54,224 "," 60,466 "," 44,947 "," 59,438 ",," 14,331 "," 13,241 "," 15,691 "," 17,148 "," 19,876 "," 26,609 "," 58,625 "," 61,229 "," 57,290 "," 53,134 "," 59,558 "," 44,303 "," 58,271 ",," 1,145,524 ",,42.6%,69.3%,78.0%,90.9%,86.7%,92.4%,98.8%,99.6%,93.4%,97.5%,100%*,96.0%,,84.2%,91.7%,96.2%,91.5%,96.1%,100%*,94.2%
,London,,East London Health and Care Partnership," 38,767 "," 59,079 "," 112,130 "," 118,970 "," 114,419 "," 101,786 "," 100,163 "," 89,678 "," 73,583 "," 55,573 "," 46,723 "," 31,900 "," 46,664 ",," 19,423 "," 25,618 "," 33,222 "," 38,579 "," 42,848 "," 47,984 "," 77,380 "," 75,811 "," 65,645 "," 51,717 "," 44,648 "," 30,531 "," 44,407 ",," 1,587,248 ",,31.8%,53.0%,63.6%,78.6%,80.6%,86.3%,90.2%,92.9%,89.6%,91.3%,88.6%,81.1%,,66.6%,76.3%,82.8%,83.4%,87.2%,84.8%,77.2%
,London,,North London Partners in Health and Care," 33,491 "," 46,109 "," 78,615 "," 80,388 "," 81,637 "," 78,207 "," 79,197 "," 73,395 "," 59,543 "," 46,411 "," 41,547 "," 29,757 "," 42,496 ",," 14,973 "," 20,232 "," 25,169 "," 29,324 "," 36,155 "," 49,089 "," 66,665 "," 64,311 "," 54,573 "," 43,665 "," 39,914 "," 28,604 "," 40,495 ",," 1,283,962 ",,33.2%,56.5%,63.7%,75.7%,78.2%,82.6%,89.5%,92.6%,88.5%,88.9%,89.1%,83.0%,,69.5%,78.4%,84.8%,83.2%,85.4%,85.7%,79.1%
,London,,North West London Health and Care Partnership," 51,943 "," 76,001 "," 114,709 "," 123,925 "," 125,910 "," 119,641 "," 119,724 "," 110,603 "," 91,211 "," 72,108 "," 62,166 "," 44,897 "," 63,833 ",," 23,699 "," 29,217 "," 35,652 "," 41,829 "," 50,761 "," 60,718 "," 97,673 "," 96,103 "," 82,904 "," 67,706 "," 59,485 "," 43,070 "," 60,874 ",," 1,926,362 ",,46.3%,64.1%,70.2%,80.2%,83.7%,88.4%,91.4%,91.3%,88.0%,89.0%,89.8%,82.9%,,72.1%,79.5%,83.0%,82.6%,85.2%,86.1%,79.0%
,London,,Our Healthier South East London," 31,176 "," 58,389 "," 105,761 "," 106,412 "," 105,806 "," 100,193 "," 103,104 "," 96,599 "," 76,306 "," 56,345 "," 51,167 "," 36,336 "," 52,663 ",," 16,994 "," 24,453 "," 29,800 "," 32,150 "," 41,851 "," 54,434 "," 84,642 "," 83,727 "," 69,540 "," 53,174 "," 49,452 "," 35,165 "," 50,542 ",," 1,606,181 ",,35.0%,59.0%,66.7%,78.8%,82.6%,86.8%,92.1%,96.9%,94.1%,94.3%,94.9%,86.8%,,71.3%,79.8%,88.3%,88.8%,91.1%,91.8%,83.3%
