,Region of Residence,,ICS/STP of Residence,1st dose Under 60,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 60,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 104,243 "," 30,410 "," 38,507 "," 39,100 "," 27,646 "," 36,693 ",," 4,187 ", 548 , 259 , 151 , 205 ," 8,355 ",," 290,304 ",,61.3%,90.1%,98.4%,100%*,92.4%
,East of England,,Cambridgeshire and Peterborough," 109,768 "," 36,157 "," 39,533 "," 43,030 "," 31,868 "," 43,171 ",," 3,075 ", 389 , 185 , 79 , 45 ," 6,568 ",," 313,868 ",,75.0%,89.3%,96.9%,100%*,96.4%
,East of England,,Hertfordshire and West Essex," 161,926 "," 53,238 "," 61,975 "," 64,579 "," 47,939 "," 71,963 ",," 6,086 ", 873 , 503 , 331 , 534 ," 20,007 ",," 489,954 ",,66.6%,92.4%,96.8%,100%*,93.9%
,East of England,,Mid and South Essex," 124,375 "," 38,709 "," 53,128 "," 61,281 "," 44,625 "," 60,601 ",," 3,341 ", 464 , 273 , 216 , 194 ," 10,676 ",," 397,883 ",,57.9%,87.0%,94.5%,100%*,95.2%
,East of England,,Norfolk and Waveney Health and Care Partnership," 132,684 "," 42,952 "," 56,830 "," 67,131 "," 50,941 "," 68,901 ",," 3,820 ", 554 , 218 , 123 , 96 ," 12,384 ",," 436,634 ",,66.2%,87.8%,95.7%,100%*,96.6%
,East of England,,Suffolk and North East Essex," 136,809 "," 47,974 "," 52,347 "," 59,447 "," 44,463 "," 59,729 ",," 4,648 ", 609 , 263 , 206 , 321 ," 5,632 ",," 412,448 ",,80.6%,90.2%,95.9%,100%*,96.5%
,London,,East London Health and Care Partnership," 222,217 "," 47,991 "," 49,701 "," 44,765 "," 30,864 "," 45,950 ",," 6,323 ", 743 , 449 , 423 , 507 ," 9,275 ",," 459,208 ",,60.6%,80.1%,87.4%,85.7%,79.9%
,London,,North London Partners in Health and Care," 191,288 "," 48,827 "," 43,235 "," 40,001 "," 28,880 "," 41,733 ",," 7,038 ", 787 , 564 , 587 ," 1,170 "," 11,013 ",," 415,123 ",,75.9%,82.4%,85.6%,86.5%,81.5%
,London,,North West London Health and Care Partnership," 273,262 "," 73,338 "," 66,747 "," 59,618 "," 43,441 "," 63,078 ",," 9,000 "," 1,110 ", 847 ," 1,657 "," 1,176 "," 11,326 ",," 604,600 ",,73.4%,81.5%,85.4%,86.9%,81.9%
,London,,Our Healthier South East London," 222,133 "," 55,915 "," 52,290 "," 49,733 "," 35,411 "," 52,152 ",," 8,065 ", 872 , 520 ," 1,004 "," 1,111 "," 10,988 ",," 490,194 ",,71.0%,87.3%,91.6%,92.5%,86.0%
,London,,South West London Health and Care Partnership," 183,418 "," 48,755 "," 49,160 "," 48,573 "," 34,000 "," 49,168 ",," 9,207 "," 1,165 ", 712 , 600 , 663 ," 10,075 ",," 435,496 ",,70.9%,86.8%,94.3%,95.5%,88.9%
,Midlands,,Birmingham and Solihull," 151,524 "," 44,106 "," 42,955 "," 42,954 "," 32,760 "," 47,433 ",," 5,581 ", 567 , 302 , 256 , 734 ," 10,766 ",," 379,938 ",,81.2%,90.0%,96.0%,98.1%,90.0%
,Midlands,,Coventry and Warwickshire," 123,622 "," 38,210 "," 41,679 "," 43,475 "," 34,503 "," 45,771 ",," 3,181 ", 395 , 158 , 115 , 102 ," 5,569 ",," 336,780 ",,78.3%,93.7%,95.7%,100%*,96.8%
,Midlands,,Herefordshire and Worcestershire," 104,673 "," 37,015 "," 45,109 "," 48,731 "," 36,812 "," 48,421 ",," 4,254 ", 574 , 235 , 162 , 349 ," 11,084 ",," 337,419 ",,73.9%,91.6%,97.8%,100%*,98.1%
,Midlands,,Joined Up Care Derbyshire," 128,043 "," 46,425 "," 51,373 "," 55,691 "," 41,958 "," 53,461 ",," 4,476 ", 625 , 202 , 89 , 51 ," 2,981 ",," 385,375 ",,74.8%,90.0%,96.4%,100%*,96.2%
,Midlands,,"Leicester, Leicestershire and Rutland"," 129,051 "," 44,580 "," 50,460 "," 52,464 "," 38,031 "," 50,859 ",," 4,997 ", 793 , 476 , 485 ," 1,410 "," 4,900 ",," 378,506 ",,74.3%,90.9%,98.5%,100%*,96.3%
,Midlands,,Lincolnshire," 89,566 "," 32,899 "," 42,420 "," 47,910 "," 36,174 "," 45,826 ",," 3,885 ", 540 , 203 , 103 , 89 ," 5,235 ",," 304,850 ",,66.6%,88.0%,95.5%,100%*,98.5%
,Midlands,,Northamptonshire," 83,550 "," 29,034 "," 32,946 "," 36,234 "," 25,795 "," 31,921 ",," 3,004 ", 464 , 209 , 140 , 417 ," 9,803 ",," 253,517 ",,71.0%,87.3%,96.1%,100%*,97.5%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 148,940 "," 41,501 "," 45,865 "," 48,146 "," 35,698 "," 47,383 ",," 6,503 ", 796 , 283 , 100 , 48 ," 1,397 ",," 376,660 ",,73.8%,89.3%,96.3%,100%*,95.2%
,Midlands,,Shropshire and Telford and Wrekin," 65,388 "," 24,160 "," 27,456 "," 29,270 "," 22,557 "," 28,604 ",," 1,402 ", 182 , 62 , 33 , 19 ," 2,978 ",," 202,111 ",,76.1%,90.6%,96.8%,100%*,99.9%
