Region of Residence,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+
 East of England ," Bedfordshire, Luton and Milton Keynes "," 48,588 "," 41,081 "," 51,105 "," 56,650 "," 58,911 "," 57,689 "," 61,476 "," 58,763 "," 49,552 "," 41,099 "," 39,746 "," 27,889 "," 36,433 "," 12,908 "," 12,443 "," 17,310 "," 23,154 "," 39,759 "," 47,137 "," 57,772 "," 56,137 "," 47,466 "," 40,159 "," 39,110 "," 27,490 "," 35,814 "
 East of England , Cambridgeshire and Peterborough ," 56,153 "," 45,093 "," 51,058 "," 52,837 "," 53,365 "," 54,969 "," 58,847 "," 57,109 "," 48,660 "," 42,536 "," 43,690 "," 32,095 "," 42,735 "," 14,172 "," 13,726 "," 16,631 "," 21,133 "," 36,249 "," 46,749 "," 56,357 "," 55,187 "," 47,097 "," 41,714 "," 43,125 "," 31,739 "," 42,139 "
 East of England , Hertfordshire and West Essex ," 78,248 "," 62,421 "," 74,483 "," 84,533 "," 91,515 "," 93,822 "," 100,553 "," 98,083 "," 81,036 "," 65,437 "," 65,445 "," 48,313 "," 71,045 "," 21,775 "," 20,511 "," 27,537 "," 39,266 "," 69,090 "," 81,977 "," 96,255 "," 94,732 "," 78,215 "," 64,221 "," 64,658 "," 47,774 "," 69,619 "
 East of England , Mid and South Essex ," 58,065 "," 47,209 "," 56,982 "," 62,794 "," 65,450 "," 70,999 "," 80,590 "," 78,388 "," 66,383 "," 56,901 "," 62,134 "," 44,933 "," 59,797 "," 16,868 "," 16,672 "," 22,748 "," 30,772 "," 47,931 "," 61,633 "," 76,456 "," 75,072 "," 64,348 "," 55,674 "," 61,090 "," 44,327 "," 58,812 "
 East of England , Norfolk and Waveney Health and Care Partnership ," 58,217 "," 43,342 "," 48,532 "," 49,331 "," 49,901 "," 56,917 "," 67,574 "," 70,812 "," 65,200 "," 61,368 "," 67,978 "," 51,079 "," 67,684 "," 17,405 "," 15,108 "," 19,242 "," 22,713 "," 33,494 "," 46,805 "," 64,887 "," 68,610 "," 63,488 "," 60,472 "," 67,285 "," 50,630 "," 67,046 "
 East of England , Suffolk and North East Essex ," 51,626 "," 39,856 "," 46,191 "," 47,316 "," 49,969 "," 55,340 "," 64,806 "," 66,287 "," 59,490 "," 54,296 "," 60,496 "," 44,877 "," 59,137 "," 16,558 "," 15,405 "," 20,273 "," 23,374 "," 33,274 "," 45,533 "," 62,352 "," 64,199 "," 58,172 "," 53,492 "," 59,756 "," 44,339 "," 58,163 "
 London , East London Health and Care Partnership ," 97,414 "," 118,235 "," 138,544 "," 132,374 "," 120,477 "," 105,819 "," 102,279 "," 91,000 "," 74,319 "," 55,910 "," 46,826 "," 31,926 "," 46,495 "," 26,762 "," 35,794 "," 51,984 "," 63,530 "," 78,243 "," 81,645 "," 92,384 "," 83,495 "," 69,433 "," 53,310 "," 45,308 "," 30,898 "," 44,717 "
 London , North London Partners in Health and Care ," 76,169 "," 83,479 "," 92,327 "," 87,442 "," 85,419 "," 80,827 "," 80,749 "," 74,442 "," 60,104 "," 46,724 "," 41,684 "," 29,788 "," 42,397 "," 24,093 "," 30,488 "," 40,370 "," 49,450 "," 64,265 "," 68,707 "," 73,741 "," 68,845 "," 56,737 "," 44,752 "," 40,371 "," 28,890 "," 40,870 "
 London , North West London Health and Care Partnership ," 115,572 "," 120,872 "," 133,250 "," 134,900 "," 131,831 "," 123,742 "," 122,129 "," 112,192 "," 92,031 "," 72,558 "," 62,410 "," 44,947 "," 63,624 "," 33,245 "," 42,114 "," 54,664 "," 69,916 "," 91,014 "," 99,603 "," 110,982 "," 103,045 "," 86,518 "," 69,397 "," 60,309 "," 43,509 "," 61,185 "
 London , Our Healthier South East London ," 82,903 "," 112,837 "," 123,923 "," 114,903 "," 109,895 "," 102,919 "," 104,852 "," 97,817 "," 76,894 "," 56,625 "," 51,287 "," 36,362 "," 52,450 "," 22,106 "," 32,587 "," 44,232 "," 55,248 "," 80,402 "," 85,811 "," 96,132 "," 90,609 "," 72,522 "," 54,351 "," 49,915 "," 35,482 "," 50,847 "
 London , South West London Health and Care Partnership ," 75,233 "," 89,894 "," 96,908 "," 97,695 "," 98,893 "," 92,705 "," 90,600 "," 83,671 "," 66,623 "," 52,509 "," 50,134 "," 34,921 "," 49,396 "," 19,814 "," 26,485 "," 32,853 "," 43,464 "," 68,314 "," 76,304 "," 84,243 "," 78,064 "," 63,071 "," 50,693 "," 48,835 "," 34,011 "," 47,453 "
 Midlands , Birmingham and Solihull ," 61,817 "," 45,302 "," 54,303 "," 58,711 "," 59,695 "," 60,517 "," 66,344 "," 63,346 "," 54,654 "," 45,480 "," 43,806 "," 33,170 "," 47,198 "," 19,422 "," 17,969 "," 24,969 "," 31,520 "," 44,224 "," 50,791 "," 61,020 "," 59,179 "," 52,067 "," 44,027 "," 42,891 "," 32,573 "," 46,052 "
 Midlands , Coventry and Warwickshire ," 56,567 "," 40,763 "," 48,941 "," 49,914 "," 50,325 "," 53,266 "," 60,490 "," 59,042 "," 50,437 "," 43,204 "," 44,112 "," 34,897 "," 45,459 "," 14,968 "," 12,882 "," 17,840 "," 23,090 "," 38,126 "," 46,329 "," 57,470 "," 56,317 "," 48,900 "," 42,379 "," 43,513 "," 34,382 "," 44,373 "
 Midlands , Herefordshire and Worcestershire ," 39,849 "," 30,396 "," 36,138 "," 37,574 "," 39,522 "," 45,006 "," 54,709 "," 56,394 "," 50,260 "," 46,617 "," 49,126 "," 36,937 "," 47,516 "," 12,047 "," 10,814 "," 14,009 "," 16,941 "," 26,611 "," 36,885 "," 52,380 "," 54,322 "," 48,916 "," 45,955 "," 48,599 "," 36,571 "," 46,926 "
 Midlands , Joined Up Care Derbyshire ," 58,450 "," 46,041 "," 50,269 "," 52,040 "," 52,866 "," 60,593 "," 72,104 "," 72,011 "," 62,238 "," 54,421 "," 56,332 "," 42,088 "," 52,530 "," 18,343 "," 19,213 "," 24,747 "," 31,716 "," 44,020 "," 54,976 "," 69,529 "," 69,556 "," 60,732 "," 53,699 "," 55,770 "," 41,684 "," 51,845 "
