,Region of Residence,,ICS/STP of Residence,1st dose Under 70,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 70,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,Cumulative Total Doses to Date,,,,,
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 55,410 "," 30,093 "," 25,926 "," 35,115 ",," 1,225 ", 35 , 46 ," 4,150 ",," 152,000 ",," 634,513 "," 39,718 "," 27,097 "," 39,719 "
,East of England,,Cambridgeshire and Peterborough," 71,853 "," 37,038 "," 30,346 "," 41,153 ",," 1,070 ", 18 , 5 ," 4,861 ",," 186,344 ",," 596,448 "," 44,394 "," 30,087 "," 44,805 "
,East of England,,Hertfordshire and West Essex," 100,095 "," 52,630 "," 46,172 "," 69,515 ",," 3,162 ", 115 , 286 ," 14,698 ",," 286,673 ",," 984,836 "," 66,699 "," 47,016 "," 76,667 "
,East of England,,Mid and South Essex," 74,600 "," 44,091 "," 41,688 "," 57,437 ",," 2,030 ", 111 , 110 ," 9,295 ",," 229,362 ",," 788,624 "," 64,862 "," 43,086 "," 63,659 "
,East of England,,Norfolk and Waveney Health and Care Partnership," 83,591 "," 51,071 "," 47,456 "," 67,260 ",," 1,465 ", 31 , 16 ," 8,201 ",," 259,091 ",," 661,686 "," 70,158 "," 48,789 "," 71,315 "
,East of England,,Suffolk and North East Essex," 78,127 "," 43,381 "," 40,872 "," 57,077 ",," 1,323 ", 104 , 238 ," 4,877 ",," 225,999 ",," 639,626 "," 61,996 "," 42,435 "," 61,887 "
,London,,East London Health and Care Partnership," 110,856 "," 39,935 "," 28,383 "," 42,044 ",," 2,927 ", 193 , 151 ," 6,295 ",," 230,784 ",," 1,435,451 "," 51,198 "," 36,008 "," 57,517 "
,London,,North London Partners in Health and Care," 105,878 "," 36,565 "," 27,064 "," 39,069 ",," 2,863 ", 248 , 763 ," 9,370 ",," 221,820 ",," 1,079,153 "," 46,739 "," 33,389 "," 51,226 "
,London,,North West London Health and Care Partnership," 146,786 "," 53,533 "," 40,446 "," 60,269 ",," 3,020 ", 187 , 223 ," 9,350 ",," 313,814 ",," 1,477,676 "," 69,815 "," 50,001 "," 77,033 "
,London,,Our Healthier South East London," 120,735 "," 45,188 "," 33,021 "," 48,823 ",," 3,431 ", 181 , 304 ," 8,563 ",," 260,246 ",," 1,305,228 "," 54,280 "," 38,296 "," 60,667 "
,London,,South West London Health and Care Partnership," 105,891 "," 41,612 "," 31,739 "," 46,440 ",," 4,288 ", 240 , 305 ," 8,438 ",," 238,953 ",," 1,052,311 "," 51,514 "," 35,616 "," 55,290 "
,Midlands,,Birmingham and Solihull," 84,485 "," 38,520 "," 30,960 "," 44,761 ",," 1,905 ", 128 , 538 ," 9,975 ",," 211,272 ",," 790,116 "," 44,743 "," 33,394 "," 52,675 "
,Midlands,,Coventry and Warwickshire," 64,377 "," 37,064 "," 32,880 "," 43,737 ",," 1,085 ", 26 , 48 ," 4,111 ",," 183,328 ",," 645,601 "," 45,434 "," 33,337 "," 47,260 "
,Midlands,,Herefordshire and Worcestershire," 62,654 "," 38,141 "," 35,360 "," 47,413 ",, 756 , 22 , 33 , 885 ,," 185,264 ",," 515,630 "," 49,825 "," 35,135 "," 49,360 "
,Midlands,,Joined Up Care Derbyshire," 80,600 "," 50,272 "," 40,383 "," 51,537 ",," 2,087 ", 33 , 4 ," 1,433 ",," 226,349 ",," 687,077 "," 57,781 "," 40,309 "," 55,588 "
,Midlands,,"Leicester, Leicestershire and Rutland"," 73,162 "," 35,718 "," 35,298 "," 48,524 ",," 1,872 ", 81 , 765 ," 3,634 ",," 199,054 ",," 748,061 "," 53,282 "," 36,599 "," 52,800 "
,Midlands,,Lincolnshire," 50,466 "," 34,027 "," 33,743 "," 44,681 ",," 1,440 ", 16 , 9 ," 1,589 ",," 165,971 ",," 498,312 "," 50,193 "," 34,919 "," 46,502 "
,Midlands,,Northamptonshire," 43,769 "," 28,925 "," 24,758 "," 30,685 ",," 2,253 ", 61 , 131 ," 7,608 ",," 138,190 ",," 489,893 "," 37,716 "," 24,302 "," 32,724 "
,Midlands,,Nottingham and Nottinghamshire Health and Care," 67,309 "," 33,396 "," 32,597 "," 44,562 ",," 1,086 ", 11 , 1 , 58 ,," 179,020 ",," 716,927 "," 49,994 "," 34,933 "," 49,762 "
,Midlands,,Shropshire and Telford and Wrekin," 38,192 "," 23,696 "," 20,366 "," 27,611 ",, 942 , 7 , -   ," 1,871 ",," 112,685 ",," 332,361 "," 30,228 "," 21,663 "," 28,641 "
,Midlands,,Staffordshire and Stoke on Trent," 79,740 "," 49,929 "," 46,409 "," 58,673 ",," 3,048 ", 87 , 160 ," 9,853 ",," 247,899 ",," 758,519 "," 64,899 "," 47,146 "," 60,825 "
,Midlands,,The Black Country and West Birmingham," 86,599 "," 44,673 "," 39,808 "," 56,149 ",," 2,002 ", 154 , 293 ," 8,538 ",," 238,216 ",," 914,144 "," 55,966 "," 45,029 "," 64,262 "
,North East and Yorkshire,,Cumbria and North East," 226,789 "," 105,631 "," 107,641 "," 151,437 ",," 8,186 ", 122 , 70 ," 20,714 ",," 620,590 ",," 2,020,975 "," 164,992 "," 111,394 "," 161,087 "
