,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 113,235 "," 58,562 "," 57,004 "," 48,092 "," 40,607 "," 39,584 "," 27,913 "," 36,939 ",," 20,824 "," 5,528 "," 5,842 "," 5,043 "," 4,671 "," 11,681 "," 15,235 "," 28,991 ",," 519,751 ",,90.1%,95.4%,96.9%,95.0%,99.7%,100%*,93.0%
,East of England,,Cambridgeshire and Peterborough," 106,106 "," 56,763 "," 55,555 "," 47,482 "," 42,077 "," 43,438 "," 32,079 "," 43,339 ",," 25,476 "," 5,862 "," 5,714 "," 4,836 "," 3,197 "," 15,330 "," 17,705 "," 34,003 ",," 538,962 ",,90.9%,96.9%,98.4%,95.0%,97.8%,100%*,96.7%
,East of England,,Hertfordshire and West Essex," 178,243 "," 97,321 "," 95,824 "," 79,155 "," 64,785 "," 65,268 "," 48,285 "," 72,191 ",," 33,996 "," 9,190 "," 9,611 "," 7,637 "," 7,670 "," 17,035 "," 29,770 "," 59,616 ",," 875,597 ",,90.5%,97.3%,99.0%,96.6%,97.9%,100%*,94.2%
,East of England,,Mid and South Essex," 153,727 "," 77,519 "," 76,191 "," 65,327 "," 56,385 "," 61,940 "," 44,951 "," 60,754 ",," 24,584 "," 6,992 "," 7,064 "," 5,913 "," 4,811 "," 16,107 "," 26,685 "," 49,527 ",," 738,477 ",,88.4%,95.5%,97.7%,92.3%,95.5%,100%*,95.4%
,East of England,,Norfolk and Waveney Health and Care Partnership," 120,562 "," 65,205 "," 68,870 "," 63,702 "," 60,647 "," 67,763 "," 51,216 "," 68,904 ",," 32,591 "," 7,866 "," 7,881 "," 6,137 "," 4,207 "," 11,041 "," 22,291 "," 55,925 ",," 714,808 ",,90.9%,97.1%,98.2%,93.7%,96.6%,100%*,96.6%
,East of England,,Suffolk and North East Essex," 116,051 "," 62,736 "," 64,556 "," 58,446 "," 53,657 "," 60,060 "," 44,855 "," 60,101 ",," 28,978 "," 7,406 "," 7,850 "," 6,294 "," 5,052 "," 10,737 "," 17,845 "," 44,630 ",," 649,254 ",,90.1%,96.7%,98.1%,92.4%,96.9%,100%*,97.1%
,London,,East London Health and Care Partnership," 241,178 "," 93,162 "," 84,626 "," 70,532 "," 54,128 "," 46,030 "," 31,583 "," 46,827 ",," 38,312 "," 8,324 "," 8,115 "," 7,034 "," 8,146 "," 18,120 "," 19,638 "," 33,774 ",," 809,529 ",,80.2%,85.1%,89.0%,87.3%,89.9%,87.7%,81.4%
,London,,North London Partners in Health and Care," 197,272 "," 74,207 "," 69,682 "," 57,464 "," 45,310 "," 40,946 "," 29,481 "," 42,514 ",," 31,469 "," 7,370 "," 8,451 "," 8,859 "," 12,128 "," 20,569 "," 21,434 "," 33,258 ",," 700,414 ",,77.4%,85.0%,89.3%,86.4%,87.6%,88.3%,83.0%
,London,,North West London Health and Care Partnership," 267,359 "," 110,470 "," 103,558 "," 87,245 "," 70,062 "," 61,177 "," 44,344 "," 63,954 ",," 43,934 "," 9,461 "," 10,011 "," 9,264 "," 12,979 "," 24,191 "," 27,586 "," 47,044 ",," 992,639 ",,81.6%,85.6%,87.3%,85.5%,87.6%,88.7%,83.0%
,London,,Our Healthier South East London," 215,149 "," 97,163 "," 91,909 "," 73,737 "," 55,154 "," 50,683 "," 36,083 "," 52,872 ",," 39,454 "," 9,259 "," 9,746 "," 8,901 "," 10,232 "," 24,769 "," 21,338 "," 36,865 ",," 833,314 ",,81.8%,87.6%,93.6%,92.1%,93.4%,94.2%,87.2%
