,Region of Residence,,ICS/STP of Residence,1st dose Under 70,1st dose 70-74,1st dose 75-79,1st dose 80+,,,,,2nd dose Under 70,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,,Cumulative Total Doses to Date,,,
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 44,434 "," 15,338 "," 22,422 "," 33,779 ",38.6%,82.7%,85.0%,, 648 , 31 , 43 ," 4,138 ",0.1%,0.2%,10.4%,," 120,833 ",,,
,East of England,,Cambridgeshire and Peterborough," 55,109 "," 25,201 "," 27,950 "," 39,499 ",56.8%,92.9%,88.2%,," 1,016 ", 17 , 4 ," 4,845 ",0.0%,0.0%,10.8%,," 153,641 ",,,
,East of England,,Hertfordshire and West Essex," 71,214 "," 25,995 "," 42,085 "," 66,997 ",39.0%,89.5%,87.4%,," 2,910 ", 107 , 281 ," 14,276 ",0.2%,0.6%,18.6%,," 223,865 ",,,
,East of England,,Mid and South Essex," 56,198 "," 23,885 "," 37,595 "," 55,660 ",36.8%,87.3%,87.4%,," 1,714 ", 97 , 102 ," 9,269 ",0.1%,0.2%,14.6%,," 184,520 ",,,
,East of England,,Norfolk and Waveney Health and Care Partnership," 63,458 "," 20,622 "," 39,654 "," 64,599 ",29.4%,81.3%,90.6%,," 1,327 ", 26 , 15 ," 8,167 ",0.0%,0.0%,11.5%,," 197,868 ",,,
,East of England,,Suffolk and North East Essex," 56,600 "," 16,782 "," 31,198 "," 54,844 ",27.1%,73.5%,88.6%,," 1,090 ", 97 , 227 ," 4,870 ",0.2%,0.5%,7.9%,," 165,708 ",,,
,London,,East London Health and Care Partnership," 77,778 "," 31,285 "," 26,035 "," 40,009 ",61.1%,72.3%,69.6%,," 2,744 ", 181 , 142 ," 6,170 ",0.4%,0.4%,10.7%,," 184,344 ",,,
,London,,North London Partners in Health and Care," 68,064 "," 29,394 "," 25,361 "," 37,528 ",62.9%,76.0%,73.3%,," 2,652 ", 228 , 749 ," 9,343 ",0.5%,2.2%,18.2%,," 173,319 ",,,
,London,,North West London Health and Care Partnership," 92,622 "," 39,843 "," 37,414 "," 58,210 ",57.1%,74.8%,75.6%,," 2,765 ", 176 , 221 ," 9,242 ",0.3%,0.4%,12.0%,," 240,493 ",,,
,London,,Our Healthier South East London," 85,366 "," 37,385 "," 30,355 "," 46,265 ",68.9%,79.3%,76.3%,," 3,205 ", 166 , 285 ," 8,526 ",0.3%,0.7%,14.1%,," 211,553 ",,,
,London,,South West London Health and Care Partnership," 80,799 "," 29,087 "," 28,076 "," 43,946 ",56.5%,78.8%,79.5%,," 3,952 ", 207 , 281 ," 8,379 ",0.4%,0.8%,15.2%,," 194,727 ",,,
,Midlands,,Birmingham and Solihull," 66,854 "," 25,393 "," 28,107 "," 42,549 ",56.8%,84.2%,80.8%,," 1,812 ", 122 , 537 ," 9,958 ",0.3%,1.6%,18.9%,," 175,332 ",,,
,Midlands,,Coventry and Warwickshire," 49,617 "," 19,475 "," 30,496 "," 42,664 ",42.9%,91.5%,90.3%,, 959 , 25 , 44 ," 4,097 ",0.1%,0.1%,8.7%,," 147,377 ",,,
,Midlands,,Herefordshire and Worcestershire," 48,735 "," 16,403 "," 31,930 "," 46,266 ",32.9%,90.9%,93.7%,, 708 , 18 , 31 , 879 ,0.0%,0.1%,1.8%,," 144,970 ",,,
,Midlands,,Joined Up Care Derbyshire," 58,590 "," 23,890 "," 36,326 "," 49,986 ",41.3%,90.1%,89.9%,," 2,063 ", 30 , 4 ," 1,413 ",0.1%,0.0%,2.5%,," 172,302 ",,,
