,Region of Residence,,ICS/STP of Residence,1st dose Under 25,1st dose 25-29,1st dose 30-34,1st dose 35-39,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 25,2nd dose 25-29,2nd dose 30-34,2nd dose 35-39,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 29,214 "," 32,229 "," 46,816 "," 53,773 "," 57,524 "," 56,752 "," 60,936 "," 58,521 "," 49,430 "," 41,051 "," 39,746 "," 27,905 "," 36,591 ",," 11,627 "," 11,342 "," 15,051 "," 18,577 "," 23,588 "," 32,413 "," 55,549 "," 54,698 "," 46,801 "," 39,873 "," 38,994 "," 27,449 "," 35,864 ",," 1,002,314 ",,55.3%,67.9%,74.8%,87.6%,88.1%,93.8%,98.0%,99.6%,96.1%,100%*,100%*,92.1%,,85.5%,91.6%,94.3%,93.3%,98.2%,100%*,90.3%
,East of England,,Cambridgeshire and Peterborough," 27,178 "," 35,103 "," 47,290 "," 50,566 "," 52,386 "," 54,281 "," 58,570 "," 56,924 "," 48,536 "," 42,473 "," 43,664 "," 32,116 "," 42,896 ",," 12,717 "," 12,680 "," 15,190 "," 16,774 "," 20,403 "," 30,411 "," 54,880 "," 54,337 "," 46,665 "," 41,512 "," 43,026 "," 31,713 "," 42,181 ",," 1,014,472 ",,63.5%,81.9%,85.7%,92.7%,89.5%,93.8%,99.3%,100%*,95.9%,98.4%,100%*,95.7%,,87.9%,94.8%,96.7%,93.7%,96.9%,100%*,94.1%
,East of England,,Hertfordshire and West Essex," 39,807 "," 47,141 "," 69,083 "," 80,783 "," 89,855 "," 92,805 "," 100,082 "," 97,760 "," 80,977 "," 65,361 "," 65,479 "," 48,349 "," 71,347 ",," 19,605 "," 18,618 "," 23,233 "," 29,010 "," 41,335 "," 55,955 "," 93,321 "," 93,025 "," 77,526 "," 63,901 "," 64,574 "," 47,729 "," 69,742 ",," 1,646,403 ",,53.8%,72.1%,77.6%,89.1%,88.9%,93.0%,99.3%,100%*,97.5%,98.2%,100%*,93.1%,,86.7%,94.5%,97.0%,95.3%,96.8%,100%*,91.0%
,East of England,,Mid and South Essex," 29,762 "," 37,716 "," 53,117 "," 60,458 "," 64,340 "," 70,236 "," 80,227 "," 78,151 "," 66,237 "," 56,867 "," 62,148 "," 44,961 "," 60,089 ",," 14,598 "," 14,564 "," 18,660 "," 22,305 "," 31,212 "," 44,239 "," 72,625 "," 72,705 "," 63,381 "," 55,277 "," 60,936 "," 44,220 "," 58,908 ",," 1,337,939 ",,53.7%,69.5%,78.0%,84.9%,84.2%,91.5%,97.9%,99.1%,93.1%,95.8%,100%*,94.4%,,82.8%,91.1%,94.8%,90.5%,93.9%,100%*,92.5%
,East of England,,Norfolk and Waveney Health and Care Partnership," 32,287 "," 33,924 "," 45,402 "," 47,488 "," 49,001 "," 56,220 "," 67,222 "," 70,534 "," 65,002 "," 61,262 "," 67,981 "," 51,109 "," 67,993 ",," 16,030 "," 14,173 "," 16,698 "," 18,477 "," 24,342 "," 32,593 "," 62,989 "," 67,488 "," 62,850 "," 60,145 "," 67,190 "," 50,597 "," 67,253 ",," 1,276,250 ",,59.0%,77.6%,83.2%,92.2%,87.6%,93.7%,99.4%,100%*,94.6%,96.9%,100%*,95.3%,,87.8%,95.1%,96.9%,92.9%,95.8%,100%*,94.3%
,East of England,,Suffolk and North East Essex," 29,039 "," 31,646 "," 43,054 "," 45,514 "," 49,154 "," 54,755 "," 64,518 "," 66,038 "," 59,375 "," 54,233 "," 60,478 "," 44,946 "," 59,365 ",," 15,157 "," 13,943 "," 16,849 "," 18,581 "," 21,533 "," 29,951 "," 60,802 "," 63,239 "," 57,729 "," 53,278 "," 59,627 "," 44,343 "," 58,272 ",," 1,175,419 ",,53.6%,73.0%,79.7%,91.5%,87.1%,92.6%,98.9%,99.7%,93.4%,97.6%,100%*,95.9%,,87.3%,94.7%,96.9%,91.8%,96.2%,100%*,94.2%
,London,,East London Health and Care Partnership," 52,576 "," 82,183 "," 124,785 "," 124,116 "," 116,404 "," 103,067 "," 100,797 "," 90,073 "," 73,815 "," 55,676 "," 46,768 "," 31,916 "," 46,613 ",," 21,631 "," 28,349 "," 37,525 "," 43,452 "," 48,418 "," 54,667 "," 86,106 "," 79,684 "," 67,354 "," 52,331 "," 44,905 "," 30,676 "," 44,513 ",," 1,688,400 ",,44.2%,59.0%,66.4%,80.0%,81.6%,86.8%,90.6%,93.2%,89.8%,91.3%,88.6%,81.0%,,74.1%,80.2%,85.0%,84.4%,87.7%,85.2%,77.4%
,London,,North London Partners in Health and Care," 46,215 "," 62,820 "," 84,965 "," 82,885 "," 82,844 "," 78,990 "," 79,663 "," 73,695 "," 59,681 "," 46,518 "," 41,602 "," 29,766 "," 42,471 ",," 16,797 "," 23,738 "," 29,184 "," 34,199 "," 40,786 "," 54,178 "," 69,794 "," 66,249 "," 55,429 "," 44,075 "," 40,084 "," 28,688 "," 40,605 ",," 1,355,921 ",,45.2%,61.0%,65.7%,76.8%,78.9%,83.0%,89.9%,92.8%,88.7%,89.0%,89.1%,82.9%,,72.8%,80.8%,86.2%,84.0%,85.8%,85.9%,79.3%
,London,,North West London Health and Care Partnership," 69,576 "," 97,390 "," 122,685 "," 127,891 "," 127,817 "," 120,890 "," 120,413 "," 111,120 "," 91,453 "," 72,240 "," 62,244 "," 44,912 "," 63,773 ",," 26,347 "," 32,424 "," 40,125 "," 48,884 "," 61,033 "," 72,357 "," 104,806 "," 99,424 "," 84,536 "," 68,413 "," 59,790 "," 43,220 "," 61,043 ",," 2,034,806 ",,59.3%,68.6%,72.4%,81.4%,84.5%,88.9%,91.9%,91.5%,88.2%,89.2%,89.8%,82.8%,,77.4%,82.2%,84.6%,83.5%,85.6%,86.4%,79.2%
,London,,Our Healthier South East London," 41,902 "," 80,390 "," 114,201 "," 109,405 "," 106,885 "," 100,837 "," 103,506 "," 96,933 "," 76,487 "," 56,425 "," 51,219 "," 36,343 "," 52,624 ",," 18,625 "," 26,419 "," 32,600 "," 36,419 "," 51,005 "," 62,776 "," 90,681 "," 87,263 "," 70,853 "," 53,611 "," 49,641 "," 35,254 "," 50,639 ",," 1,692,943 ",,48.2%,63.7%,68.6%,79.7%,83.1%,87.2%,92.4%,97.1%,94.2%,94.4%,94.9%,86.7%,,76.4%,83.2%,90.0%,89.5%,91.5%,92.1%,83.5%
,London,,South West London Health and Care Partnership," 45,617 "," 72,663 "," 90,427 "," 93,569 "," 96,543 "," 91,105 "," 89,725 "," 83,096 "," 66,291 "," 52,414 "," 50,090 "," 34,893 "," 49,579 ",," 17,096 "," 22,872 "," 26,208 "," 29,648 "," 37,767 "," 49,444 "," 80,342 "," 75,752 "," 61,924 "," 50,198 "," 48,569 "," 33,835 "," 47,404 ",," 1,497,071 ",,63.6%,69.9%,70.8%,82.9%,86.0%,89.0%,94.2%,96.4%,92.6%,97.2%,98.0%,89.7%,,79.7%,85.9%,90.0%,88.6%,94.3%,95.0%,85.7%
,Midlands,,Birmingham and Solihull," 39,378 "," 38,190 "," 50,516 "," 55,841 "," 57,979 "," 59,381 "," 65,726 "," 63,021 "," 54,424 "," 45,421 "," 43,794 "," 33,186 "," 47,422 ",," 16,872 "," 15,394 "," 20,047 "," 24,448 "," 31,236 "," 41,837 "," 58,486 "," 57,655 "," 51,147 "," 43,647 "," 42,721 "," 32,496 "," 46,002 ",," 1,136,267 ",,41.4%,63.0%,73.7%,85.3%,83.7%,90.9%,95.3%,100%*,95.2%,97.9%,99.4%,90.0%,,80.9%,87.2%,94.1%,91.5%,95.5%,97.3%,87.3%
,Midlands,,Coventry and Warwickshire," 27,804 "," 29,916 "," 45,024 "," 47,760 "," 49,319 "," 52,586 "," 60,138 "," 58,782 "," 50,341 "," 43,154 "," 44,118 "," 34,936 "," 45,677 ",," 13,273 "," 11,514 "," 14,615 "," 16,719 "," 24,454 "," 35,207 "," 55,442 "," 55,187 "," 48,340 "," 42,159 "," 43,397 "," 34,328 "," 44,398 ",," 1,028,588 ",,40.0%,69.2%,80.3%,91.6%,87.9%,96.4%,100%*,100%*,97.0%,97.1%,100%*,96.7%,,88.9%,94.7%,99.1%,94.8%,95.5%,100%*,93.9%
,Midlands,,Herefordshire and Worcestershire," 20,142 "," 22,930 "," 33,073 "," 35,751 "," 38,662 "," 44,511 "," 54,410 "," 56,189 "," 50,129 "," 46,570 "," 49,150 "," 36,977 "," 47,734 ",," 10,816 "," 9,801 "," 12,368 "," 14,231 "," 18,528 "," 27,504 "," 50,900 "," 53,214 "," 48,311 "," 45,695 "," 48,522 "," 36,559 "," 47,058 ",," 959,735 ",,51.4%,74.2%,78.4%,87.9%,84.9%,92.4%,100%*,100%*,94.6%,98.6%,100%*,96.7%,,86.5%,94.8%,96.4%,92.8%,97.4%,100%*,95.3%
,Midlands,,Joined Up Care Derbyshire," 41,954 "," 40,908 "," 47,861 "," 50,557 "," 52,074 "," 60,034 "," 71,792 "," 71,763 "," 62,136 "," 54,413 "," 56,326 "," 42,130 "," 52,753 ",," 15,705 "," 15,597 "," 18,213 "," 21,915 "," 34,804 "," 47,065 "," 67,627 "," 68,227 "," 60,109 "," 53,433 "," 55,649 "," 41,657 "," 51,926 ",," 1,256,628 ",,63.9%,76.1%,82.7%,90.0%,84.8%,91.0%,99.1%,100%*,95.3%,97.5%,100%*,94.9%,,85.7%,94.2%,96.9%,93.6%,96.3%,100%*,93.4%
,Midlands,,"Leicester, Leicestershire and Rutland"," 46,715 "," 39,006 "," 49,660 "," 56,133 "," 58,750 "," 62,739 "," 71,159 "," 69,074 "," 61,270 "," 53,356 "," 53,261 "," 38,373 "," 50,279 ",," 18,691 "," 16,287 "," 19,934 "," 24,393 "," 31,115 "," 42,958 "," 64,735 "," 64,320 "," 58,615 "," 51,962 "," 52,363 "," 37,679 "," 48,344 ",," 1,241,171 ",,50.9%,72.4%,81.9%,93.2%,88.6%,95.0%,97.7%,100%*,96.1%,100.0%,100%*,95.2%,,86.4%,91.0%,97.6%,93.6%,98.3%,100%*,91.6%
,Midlands,,Lincolnshire," 22,455 "," 24,455 "," 31,685 "," 33,662 "," 35,404 "," 41,695 "," 50,909 "," 54,360 "," 49,205 "," 44,951 "," 48,581 "," 36,367 "," 45,278 ",," 11,027 "," 9,855 "," 11,694 "," 13,302 "," 20,109 "," 29,240 "," 47,542 "," 51,959 "," 47,438 "," 44,096 "," 47,985 "," 35,905 "," 44,591 ",," 933,750 ",,58.0%,74.1%,79.5%,89.6%,84.9%,93.0%,98.0%,99.6%,93.3%,96.8%,100%*,97.4%,,86.9%,93.7%,96.0%,91.5%,95.6%,100%*,95.9%
,Midlands,,Northamptonshire," 22,753 "," 24,107 "," 33,927 "," 37,680 "," 40,849 "," 44,494 "," 50,596 "," 49,065 "," 40,878 "," 35,347 "," 36,690 "," 25,931 "," 31,606 ",," 9,014 "," 8,575 "," 10,888 "," 12,847 "," 16,915 "," 24,028 "," 46,137 "," 46,008 "," 38,972 "," 34,494 "," 36,143 "," 25,598 "," 31,019 ",," 814,561 ",,55.9%,71.5%,75.8%,88.3%,85.5%,93.0%,99.2%,100%*,93.6%,97.3%,100%*,96.6%,,84.8%,93.0%,95.3%,91.4%,95.8%,100%*,94.8%
