,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 105,216 "," 55,379 "," 54,684 "," 47,490 "," 40,378 "," 39,489 "," 27,855 "," 36,873 ",," 11,908 "," 3,054 "," 2,967 "," 2,250 "," 1,252 "," 1,407 "," 3,027 "," 13,773 ",," 447,002 ",,85.2%,91.6%,95.7%,94.5%,99.4%,100%*,92.8%
,East of England,,Cambridgeshire and Peterborough," 99,456 "," 54,635 "," 54,520 "," 47,071 "," 41,883 "," 43,330 "," 32,024 "," 43,325 ",," 11,864 "," 2,543 "," 2,342 "," 1,784 ", 928 ," 1,637 "," 1,854 "," 12,944 ",," 452,140 ",,87.5%,95.1%,97.6%,94.6%,97.6%,100%*,96.7%
,East of England,,Hertfordshire and West Essex," 158,671 "," 90,634 "," 93,026 "," 78,399 "," 64,537 "," 65,118 "," 48,211 "," 72,176 ",," 19,866 "," 5,208 "," 5,492 "," 4,097 "," 2,404 "," 3,613 "," 7,755 "," 34,282 ",," 753,489 ",,84.2%,94.5%,98.1%,96.2%,97.6%,100%*,94.1%
,East of England,,Mid and South Essex," 136,297 "," 71,458 "," 72,374 "," 64,485 "," 56,110 "," 61,784 "," 44,870 "," 60,773 ",," 10,503 "," 2,920 "," 2,927 "," 2,097 "," 1,317 "," 2,920 "," 4,458 "," 22,406 ",," 617,699 ",,81.5%,90.7%,96.5%,91.9%,95.3%,100%*,95.5%
,East of England,,Norfolk and Waveney Health and Care Partnership," 114,057 "," 62,068 "," 67,673 "," 63,119 "," 60,421 "," 67,693 "," 51,184 "," 69,002 ",," 15,059 "," 3,601 "," 3,548 "," 2,618 "," 1,630 "," 1,615 "," 2,284 "," 23,433 ",," 609,005 ",,86.5%,95.4%,97.3%,93.3%,96.5%,100%*,96.8%
,East of England,,Suffolk and North East Essex," 108,259 "," 60,729 "," 63,495 "," 58,077 "," 53,487 "," 59,899 "," 44,720 "," 60,084 ",," 16,087 "," 4,012 "," 4,122 "," 2,976 "," 1,571 "," 1,393 "," 2,388 "," 11,347 ",," 552,646 ",,87.2%,95.1%,97.5%,92.1%,96.6%,100%*,97.1%
,London,,East London Health and Care Partnership," 214,830 "," 86,388 "," 80,879 "," 68,765 "," 53,450 "," 45,712 "," 31,387 "," 46,556 ",," 20,599 "," 4,135 "," 3,832 "," 3,170 "," 2,405 "," 3,751 "," 3,793 "," 19,539 ",," 689,191 ",,74.4%,81.4%,86.8%,86.2%,89.3%,87.2%,80.9%
,London,,North London Partners in Health and Care," 178,376 "," 71,120 "," 67,533 "," 56,500 "," 44,937 "," 40,707 "," 29,299 "," 42,257 ",," 19,890 "," 4,138 "," 4,297 "," 3,536 "," 3,234 "," 5,493 "," 7,950 "," 22,734 ",," 602,001 ",,74.1%,82.4%,87.8%,85.7%,87.1%,87.8%,82.5%
,London,,North West London Health and Care Partnership," 244,887 "," 104,140 "," 100,327 "," 85,563 "," 69,360 "," 60,734 "," 44,048 "," 63,763 ",," 26,195 "," 5,192 "," 5,198 "," 4,589 "," 4,008 "," 7,056 "," 6,927 "," 24,865 ",," 856,852 ",,76.9%,83.0%,85.6%,84.6%,87.0%,88.1%,82.8%
,London,,Our Healthier South East London," 197,252 "," 91,349 "," 88,679 "," 72,250 "," 54,677 "," 50,449 "," 35,916 "," 52,739 ",," 21,763 "," 4,259 "," 4,245 "," 3,362 "," 2,477 "," 5,054 "," 6,104 "," 20,880 ",," 711,455 ",,76.9%,84.5%,91.7%,91.3%,92.9%,93.8%,86.9%
,London,,South West London Health and Care Partnership," 162,860 "," 79,942 "," 76,728 "," 63,027 "," 51,018 "," 49,245 "," 34,386 "," 49,535 ",," 22,626 "," 4,569 "," 4,793 "," 3,723 "," 2,810 "," 4,260 "," 6,775 "," 23,437 ",," 639,734 ",,79.3%,87.0%,91.6%,90.1%,95.6%,96.5%,89.6%
,Midlands,,Birmingham and Solihull," 141,679 "," 59,990 "," 59,099 "," 52,427 "," 44,548 "," 43,424 "," 33,051 "," 47,750 ",," 12,839 "," 3,160 "," 3,224 "," 2,776 "," 2,843 "," 4,222 "," 7,507 "," 23,234 ",," 541,773 ",,83.0%,89.4%,96.5%,93.4%,97.1%,99.0%,90.7%
,Midlands,,Coventry and Warwickshire," 106,973 "," 56,131 "," 55,704 "," 48,785 "," 42,527 "," 43,745 "," 34,681 "," 45,958 ",," 9,321 "," 2,449 "," 2,484 "," 1,900 "," 1,027 ", 982 ," 3,801 "," 16,007 ",," 472,475 ",,90.0%,95.6%,100.0%,95.6%,96.3%,100%*,97.2%
,Midlands,,Herefordshire and Worcestershire," 87,744 "," 51,465 "," 53,888 "," 48,971 "," 46,137 "," 48,966 "," 36,923 "," 48,385 ",," 10,774 "," 3,168 "," 3,303 "," 2,439 "," 1,440 "," 2,165 "," 5,149 "," 28,228 ",," 479,145 ",,87.4%,96.0%,97.7%,93.7%,98.3%,100%*,98.0%
,Midlands,,Joined Up Care Derbyshire," 126,903 "," 67,440 "," 68,099 "," 60,469 "," 53,744 "," 56,064 "," 42,133 "," 53,548 ",," 11,135 "," 3,252 "," 3,164 "," 2,312 ", 896 , 891 ," 1,319 "," 14,170 ",," 565,539 ",,85.5%,94.1%,97.5%,94.2%,97.0%,100%*,96.3%
,Midlands,,"Leicester, Leicestershire and Rutland"," 134,091 "," 64,385 "," 64,915 "," 59,327 "," 52,534 "," 52,896 "," 38,260 "," 50,921 ",," 9,270 "," 2,505 "," 2,597 "," 2,190 "," 1,564 "," 1,731 "," 3,928 "," 18,606 ",," 559,720 ",,86.0%,91.8%,98.8%,94.7%,99.3%,100%*,96.4%
,Midlands,,Lincolnshire," 83,899 "," 46,811 "," 51,578 "," 47,554 "," 44,302 "," 48,298 "," 36,357 "," 45,854 ",," 7,533 "," 2,216 "," 2,200 "," 1,629 ", 695 , 795 , 925 ," 15,437 ",," 436,083 ",,85.5%,93.0%,96.3%,91.9%,96.2%,100%*,98.6%
,Midlands,,Northamptonshire," 75,662 "," 45,758 "," 46,593 "," 39,438 "," 34,886 "," 36,493 "," 25,948 "," 32,037 ",," 8,209 "," 2,357 "," 2,573 "," 1,954 "," 1,194 "," 1,925 "," 5,261 "," 21,958 ",," 382,246 ",,84.1%,94.2%,96.5%,92.4%,96.8%,100%*,97.9%
,Midlands,,Nottingham and Nottinghamshire Health and Care," 127,624 "," 60,423 "," 61,725 "," 53,729 "," 47,351 "," 48,677 "," 36,049 "," 47,837 ",," 12,333 "," 3,076 "," 3,076 "," 2,077 ", 785 , 430 , 394 ," 13,782 ",," 519,368 ",,85.2%,92.0%,95.6%,92.2%,97.4%,100%*,96.1%
