,Region of Residence,,ICS/STP of Residence,1st dose Under 50,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 50,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,,,50-54,55-59,60-64,65-69,70-74,75-79,80+
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 110,669 "," 57,918 "," 56,653 "," 47,908 "," 40,513 "," 39,528 "," 27,880 "," 36,912 ",," 15,878 "," 4,159 "," 4,203 "," 3,455 "," 2,009 "," 4,173 "," 6,939 "," 21,064 ",," 479,861 ",,89.1%,94.9%,96.6%,94.8%,99.5%,100%*,92.9%
,East of England,,Cambridgeshire and Peterborough," 103,463 "," 56,369 "," 55,300 "," 47,329 "," 42,008 "," 43,377 "," 32,045 "," 43,311 ",," 17,666 "," 3,866 "," 3,667 "," 2,835 "," 1,397 "," 2,632 "," 3,767 "," 19,656 ",," 478,688 ",,90.3%,96.4%,98.1%,94.9%,97.7%,100%*,96.7%
,East of England,,Hertfordshire and West Essex," 170,531 "," 96,234 "," 95,214 "," 78,924 "," 64,692 "," 65,213 "," 48,250 "," 72,186 ",," 25,940 "," 6,929 "," 7,141 "," 5,483 "," 3,664 "," 7,736 "," 16,476 "," 47,659 ",," 812,272 ",,89.4%,96.7%,98.7%,96.5%,97.8%,100%*,94.2%
,East of England,,Mid and South Essex," 149,308 "," 76,833 "," 75,811 "," 65,165 "," 56,307 "," 61,896 "," 44,913 "," 60,801 ",," 17,007 "," 4,749 "," 4,750 "," 3,590 "," 2,496 "," 6,188 "," 10,988 "," 36,979 ",," 677,781 ",,87.6%,95.0%,97.5%,92.2%,95.4%,100%*,95.5%
,East of England,,Norfolk and Waveney Health and Care Partnership," 118,947 "," 64,750 "," 68,586 "," 63,522 "," 60,546 "," 67,724 "," 51,191 "," 68,946 ",," 23,352 "," 5,625 "," 5,638 "," 4,222 "," 2,583 "," 4,104 "," 7,597 "," 35,940 ",," 653,273 ",,90.3%,96.7%,97.9%,93.5%,96.5%,100%*,96.7%
,East of England,,Suffolk and North East Essex," 113,343 "," 62,414 "," 64,314 "," 58,306 "," 53,589 "," 59,950 "," 44,769 "," 60,104 ",," 22,787 "," 5,777 "," 5,990 "," 4,415 "," 2,519 "," 2,987 "," 6,289 "," 26,133 ",," 593,686 ",,89.6%,96.4%,97.9%,92.3%,96.7%,100%*,97.1%
,London,,East London Health and Care Partnership," 231,499 "," 90,976 "," 83,245 "," 69,803 "," 53,851 "," 45,860 "," 31,484 "," 46,704 ",," 28,686 "," 6,032 "," 5,824 "," 4,879 "," 4,474 "," 10,360 "," 10,755 "," 27,742 ",," 752,174 ",,78.3%,83.7%,88.1%,86.8%,89.6%,87.4%,81.2%
,London,,North London Partners in Health and Care," 189,367 "," 72,872 "," 68,754 "," 57,006 "," 45,118 "," 40,820 "," 29,381 "," 42,386 ",," 24,755 "," 5,318 "," 6,216 "," 5,672 "," 4,687 "," 11,505 "," 15,534 "," 28,562 ",," 647,953 ",,76.0%,83.9%,88.6%,86.0%,87.3%,88.0%,82.7%
,London,,North West London Health and Care Partnership," 258,120 "," 108,402 "," 102,264 "," 86,517 "," 69,724 "," 60,910 "," 44,135 "," 63,833 ",," 33,711 "," 6,813 "," 6,993 "," 6,251 "," 6,199 "," 11,962 "," 12,938 "," 35,700 ",," 914,472 ",,80.1%,84.6%,86.6%,85.1%,87.2%,88.3%,82.9%
,London,,Our Healthier South East London," 207,865 "," 95,502 "," 90,829 "," 73,163 "," 54,950 "," 50,552 "," 36,003 "," 52,838 ",," 29,195 "," 6,240 "," 6,290 "," 5,325 "," 4,945 "," 13,133 "," 13,674 "," 30,038 ",," 770,542 ",,80.4%,86.6%,92.9%,91.8%,93.1%,94.0%,87.1%
,London,,South West London Health and Care Partnership," 171,155 "," 83,382 "," 78,193 "," 63,608 "," 51,216 "," 49,426 "," 34,484 "," 49,681 ",," 29,273 "," 6,240 "," 6,511 "," 5,327 "," 5,063 "," 9,665 "," 14,575 "," 31,903 ",," 689,702 ",,82.7%,88.7%,92.5%,90.4%,95.9%,96.8%,89.9%
,Midlands,,Birmingham and Solihull," 150,654 "," 61,580 "," 59,925 "," 52,827 "," 44,662 "," 43,481 "," 33,081 "," 47,841 ",," 19,156 "," 4,729 "," 4,847 "," 4,393 "," 4,389 "," 8,313 "," 12,629 "," 32,459 ",," 584,966 ",,85.2%,90.6%,97.2%,93.6%,97.2%,99.1%,90.8%
,Midlands,,Coventry and Warwickshire," 114,159 "," 57,207 "," 56,270 "," 48,998 "," 42,595 "," 43,777 "," 34,695 "," 45,982 ",," 14,592 "," 3,861 "," 3,913 "," 3,024 "," 2,077 "," 3,813 "," 8,931 "," 29,161 ",," 513,055 ",,91.7%,96.5%,100%*,95.8%,96.4%,100%*,97.3%
,Midlands,,Herefordshire and Worcestershire," 91,715 "," 52,421 "," 54,558 "," 49,193 "," 46,201 "," 49,009 "," 36,945 "," 48,386 ",," 15,565 "," 4,420 "," 4,526 "," 3,444 "," 2,546 "," 3,117 "," 10,291 "," 35,527 ",," 507,864 ",,89.1%,97.2%,98.2%,93.8%,98.4%,100%*,98.0%
,Midlands,,Joined Up Care Derbyshire," 149,232 "," 69,187 "," 69,278 "," 60,811 "," 53,883 "," 56,118 "," 42,168 "," 53,543 ",," 18,269 "," 5,131 "," 5,129 "," 3,630 "," 1,511 "," 2,168 "," 5,781 "," 28,220 ",," 624,059 ",,87.7%,95.7%,98.0%,94.4%,97.1%,100%*,96.3%
,Midlands,,"Leicester, Leicestershire and Rutland"," 147,279 "," 67,114 "," 65,931 "," 59,683 "," 52,642 "," 52,942 "," 38,290 "," 50,917 ",," 14,644 "," 3,906 "," 3,918 "," 3,253 "," 2,247 "," 2,746 "," 6,466 "," 28,460 ",," 600,438 ",,89.6%,93.3%,99.4%,94.9%,99.4%,100%*,96.4%
,Midlands,,Lincolnshire," 95,196 "," 48,776 "," 52,723 "," 47,906 "," 44,421 "," 48,360 "," 36,383 "," 45,843 ",," 11,164 "," 3,148 "," 3,165 "," 2,367 "," 1,032 "," 1,489 "," 3,554 "," 22,838 ",," 468,365 ",,89.1%,95.1%,97.0%,92.2%,96.3%,100%*,98.6%
