,Region of Residence,,ICS/STP of Residence,1st dose Under 80,1st dose 80+,,2nd dose Under 80,2nd dose 80+,,Cumulative Total Doses to Date,,,
,East of England,,Cambridgeshire and Peterborough," 20,271 "," 20,474 ",, 974 ," 4,821 ",," 46,540 ",,,
,East of England,,"Bedfordshire, Luton and Milton Keynes"," 25,259 "," 22,292 ",, 624 ," 4,062 ",," 52,237 ",,,
,East of England,,Hertfordshire and West Essex," 47,623 "," 50,815 ",," 2,871 "," 13,995 ",," 115,304 ",,,
,East of England,,Mid and South Essex," 31,494 "," 38,503 ",," 1,300 "," 8,914 ",," 80,211 ",,,
,East of England,,Norfolk and Waveney Health and Care Partnership," 30,588 "," 36,809 ",," 1,086 "," 7,751 ",," 76,234 ",,,
,East of England,,Suffolk and North East Essex," 31,159 "," 22,265 ",," 1,124 "," 4,790 ",," 59,338 ",,,
,London,,East London Health and Care Partnership," 40,972 "," 27,886 ",," 2,438 "," 5,821 ",," 77,117 ",,,
,London,,North London Partners in Health and Care," 40,375 "," 28,226 ",," 3,026 "," 8,850 ",," 80,477 ",,,
,London,,North West London Health and Care Partnership," 45,724 "," 35,171 ",," 2,255 "," 8,084 ",," 91,234 ",,,
,London,,Our Healthier South East London," 45,989 "," 27,708 ",," 2,811 "," 5,975 ",," 82,483 ",,,
,London,,South West London Health and Care Partnership," 53,007 "," 31,295 ",," 3,720 "," 7,561 ",," 95,583 ",,,
,Midlands,,Birmingham and Solihull," 51,851 "," 34,898 ",," 2,029 "," 9,758 ",," 98,536 ",,,
,Midlands,,Coventry and Warwickshire," 30,537 "," 29,382 ",, 813 ," 3,935 ",," 64,667 ",,,
,Midlands,,Herefordshire and Worcestershire," 39,872 "," 37,609 ",, 591 , 868 ,," 78,940 ",,,
,Midlands,,Joined Up Care Derbyshire," 35,380 "," 31,630 ",," 1,992 "," 1,330 ",," 70,332 ",,,
,Midlands,,"Leicester, Leicestershire and Rutland"," 28,491 "," 27,826 ",," 2,053 "," 3,162 ",," 61,532 ",,,
,Midlands,,Lincolnshire," 22,682 "," 24,253 ",," 1,136 "," 1,562 ",," 49,633 ",,,
,Midlands,,Northamptonshire," 30,975 "," 25,587 ",," 2,119 "," 7,346 ",," 66,027 ",,,
,Midlands,,Nottingham and Nottinghamshire Health and Care," 26,848 "," 21,510 ",, 953 , 25 ,," 49,336 ",,,
,Midlands,,Shropshire and Telford and Wrekin," 11,082 "," 14,031 ",, 812 ," 1,839 ",," 27,764 ",,,
,Midlands,,Staffordshire and Stoke on Trent," 43,014 "," 37,001 ",," 2,785 "," 9,556 ",," 92,356 ",,,
,Midlands,,The Black Country and West Birmingham," 46,316 "," 40,774 ",," 1,905 "," 8,315 ",," 97,310 ",,,
,North East and Yorkshire,,Cumbria and North East," 129,873 "," 114,117 ",," 7,672 "," 19,874 ",," 271,536 ",,,
,North East and Yorkshire,,"Humber, Coast and Vale"," 59,074 "," 68,506 ",," 1,794 "," 13,508 ",," 142,882 ",,,
,North East and Yorkshire,,South Yorkshire and Bassetlaw," 60,185 "," 47,328 ",," 2,254 "," 7,211 ",," 116,978 ",,,
,North East and Yorkshire,,West Yorkshire and Harrogate (Health and Care Partnership)," 71,558 "," 68,120 ",," 4,179 "," 13,737 ",," 157,594 ",,,
,North West,,Cheshire and Merseyside," 94,226 "," 80,366 ",," 8,990 "," 17,638 ",," 201,220 ",,,
,North West,,Greater Manchester Health and Social Care Partnership," 96,675 "," 70,505 ",," 7,199 "," 13,568 ",," 187,947 ",,,
,North West,,Healthier Lancashire and South Cumbria," 75,598 "," 70,027 ",," 2,779 "," 9,643 ",," 158,047 ",,,
,South East,,"Buckinghamshire, Oxfordshire and Berkshire West"," 57,069 "," 54,760 ",," 2,796 "," 6,713 ",," 121,338 ",,,
,South East,,Frimley Health and Care ICS," 21,372 "," 23,985 ",," 1,928 "," 2,930 ",," 50,215 ",,,
,South East,,Hampshire and the Isle of Wight," 72,178 "," 74,107 ",," 2,970 "," 17,162 ",," 166,417 ",,,
,South East,,Kent and Medway," 57,923 "," 49,208 ",," 5,324 "," 15,368 ",," 127,823 ",,,
,South East,,Surrey Heartlands Health and Care Partnership," 28,179 "," 34,528 ",," 2,176 "," 4,593 ",," 69,476 ",,,
,South East,,Sussex and East Surrey Health and Care Partnership," 61,511 "," 52,462 ",," 3,682 "," 7,709 ",," 125,364 ",,,
,South West,,"Bath and North East Somerset, Swindon and Wiltshire"," 26,102 "," 30,040 ",," 1,577 "," 5,574 ",," 63,293 ",,,
,South West,,"Bristol, North Somerset and South Gloucestershire"," 37,487 "," 33,429 ",," 2,288 "," 6,539 ",," 79,743 ",,,
,South West,,Cornwall and the Isles of Scilly Health and Social Care Partnership," 20,504 "," 19,535 ",," 1,076 "," 5,353 ",," 46,468 ",,,
,South West,,Devon," 46,469 "," 39,880 ",," 1,234 "," 10,651 ",," 98,234 ",,,
,South West,,Dorset," 25,953 "," 34,242 ",," 1,528 "," 6,970 ",," 68,693 ",,,
,South West,,Gloucestershire," 30,237 "," 31,903 ",," 1,526 "," 1,360 ",," 65,026 ",,,
,South West,,Somerset," 17,626 "," 21,680 ",," 1,480 "," 4,927 ",," 45,713 ",,,
